Name,5H..5A.3
Date,1/1/1980
Time,01:08am
Irradiance total,7.01E-03
Irradiance UVA,3.19E-03
Irradiance UVB,8.90E-04
Irradiance UVC,2.57E-03
Irradiance @253.7nm,2.32E-04
Irradiance @365nm,8.18E-05
Irradiance WL range,7.01E-03
Spectral Centroid,310.9
,
wavelength [nm],Irradiance[W/(m²*nm)]
,
200,0
201,2.03495E-05
202,3.79785E-05
203,2.01587E-05
204,1.47111E-05
205,1.61587E-05
206,1.51517E-05
207,1.31649E-05
208,1.19739E-05
209,1.13913E-05
210,1.08482E-05
211,9.0585E-06
212,7.56681E-06
213,8.88828E-06
214,9.63857E-06
215,1.81883E-06
216,1.25733E-05
217,2.07846E-05
218,2.33254E-05
219,1.05474E-05
220,0.000125779
221,0.000216932
222,0.000437741
223,0.000286401
224,2.17719E-05
225,1.09735E-05
226,1.69828E-06
227,3.77737E-06
228,5.70691E-06
229,0.000127836
230,0.000218191
231,0.00017685
232,8.89157E-05
233,2.52976E-05
234,1.21177E-05
235,7.25384E-06
236,2.6103E-06
237,2.07252E-06
238,8.76026E-07
239,9.38824E-07
240,1.11107E-06
241,9.59791E-07
242,7.62719E-07
243,7.05497E-07
244,8.71026E-07
245,7.61061E-07
246,5.25733E-07
247,3.16462E-07
248,2.7579E-06
249,8.69059E-07
250,3.4168E-06
251,6.01654E-06
252,5.43775E-05
253,7.80983E-05
254,3.68981E-05
255,2.01605E-05
256,3.3916E-06
257,1.64637E-05
258,8.10185E-06
259,4.09465E-06
260,2.66516E-06
261,1.17415E-06
262,8.77236E-07
263,3.18773E-07
264,4.19623E-07
265,5.28856E-07
266,4.70263E-07
267,4.69116E-07
268,4.50914E-07
269,2.70129E-07
270,3.2497E-07
271,8.92165E-07
272,4.63946E-07
273,4.41434E-07
274,4.20894E-07
275,1.16005E-05
276,3.17547E-05
277,5.55908E-05
278,6.68118E-05
279,5.81334E-05
280,4.17145E-05
281,2.82292E-05
282,2.13839E-05
283,1.95807E-05
284,1.39414E-05
285,3.95303E-06
286,1.97474E-06
287,1.93153E-06
288,1.88839E-06
289,3.91481E-06
290,3.71352E-06
291,1.12122E-06
292,5.54241E-07
293,5.77664E-06
294,1.0883E-05
295,1.96263E-05
296,1.02802E-05
297,1.8614E-07
298,6.49951E-06
299,1.44245E-05
300,1.01119E-05
301,2.41261E-06
302,1.4249E-06
303,4.9243E-07
304,1.35796E-06
305,6.60995E-07
306,1.01552E-05
307,1.93056E-05
308,5.62728E-05
309,7.70924E-05
310,7.46438E-05
311,6.65332E-05
312,6.87029E-05
313,9.02919E-05
314,0.000108744
315,8.97859E-05
316,5.6779E-05
317,5.14121E-05
318,5.31295E-05
319,2.89544E-05
320,3.96929E-07
321,3.94679E-07
322,3.92487E-07
323,1.36582E-06
324,6.74261E-07
325,3.73375E-07
326,8.07107E-08
327,2.89085E-07
328,4.96392E-07
329,1.38831E-06
330,9.03134E-07
331,4.15042E-07
332,3.36826E-05
333,9.33863E-05
334,0.000144655
335,0.000170344
336,0.000170731
337,0.00014809
338,0.000109852
339,6.88051E-05
340,3.86562E-05
341,1.99668E-05
342,7.27744E-06
343,2.13601E-07
344,1.72251E-07
345,1.3012E-07
346,8.43558E-08
347,2.03762E-07
348,3.28032E-06
349,1.33012E-05
350,2.97554E-05
351,4.23016E-05
352,4.95764E-05
353,6.77417E-05
354,9.73489E-05
355,0.00011552
356,0.000114334
357,0.000105252
358,8.94263E-05
359,5.9533E-05
360,2.48641E-05
361,4.85589E-06
362,1.48926E-07
363,6.46781E-07
364,1.70492E-06
365,1.52809E-06
366,1.6811E-07
367,2.3614E-06
368,4.46574E-06
369,1.75213E-05
370,2.3562E-05
371,1.44523E-05
372,8.44532E-06
373,1.61606E-05
374,2.41428E-05
375,2.48731E-05
376,2.52857E-05
377,3.09745E-05
378,4.30793E-05
379,5.42417E-05
380,4.93746E-05
381,3.02954E-05
382,1.20802E-05
383,1.63573E-06
384,1.61136E-06
385,1.58775E-06
386,5.93748E-06
387,2.29932E-05
388,6.41432E-05
389,0.000106004
390,0.000119652
391,0.000110415
392,8.94695E-05
393,6.09418E-05
394,3.0072E-05
395,1.08001E-05
396,1.01322E-05
397,1.4998E-05
398,1.58515E-05
399,1.5175E-05
400,1.44677E-05
401,1.16942E-05
402,7.35107E-06
403,5.19989E-06
404,5.93007E-06
405,7.02859E-06
406,6.93963E-06
407,5.10323E-06
408,2.39364E-06
409,4.82126E-07
410,7.44076E-07
411,1.00828E-06
412,3.42982E-06
413,6.76487E-06
414,8.67185E-06
415,7.4276E-06
416,6.27052E-06
417,7.60291E-06
418,7.14445E-06
419,2.60236E-06
420,2.33806E-06
421,2.06618E-06
422,3.00299E-06
423,1.5179E-06
424,5.1663E-06
425,1.56255E-05
426,2.62176E-05
427,3.38115E-05
428,3.91904E-05
429,3.93698E-05
430,2.89861E-05
431,1.32229E-05
432,3.32532E-06
433,2.41358E-07
434,1.41202E-07
435,4.11714E-08
436,1.43544E-07
437,6.56932E-08
438,9.30449E-09
439,7.35625E-08
440,5.28858E-07
441,2.27888E-06
442,5.03811E-06
443,5.23659E-06
444,1.86048E-06
445,1.652E-06
446,1.44355E-06
447,2.58642E-06
448,1.34455E-06
449,6.66948E-07
450,2.69019E-06
