Name,5H..9A.2
Date,1/1/1980
Time,00:37am
Irradiance total,6.01E-03
Irradiance UVA,4.15E-03
Irradiance UVB,1.09E-03
Irradiance UVC,5.23E-04
Irradiance @253.7nm,5.51E-06
Irradiance @365nm,7.59E-05
Irradiance WL range,6.01E-03
Spectral Centroid,340
,
wavelength [nm],Irradiance[W/(m²*nm)]
,
200,1.68127E-05
201,2.53506E-05
202,2.55259E-05
203,1.9988E-05
204,1.72087E-05
205,1.60358E-05
206,1.46119E-05
207,1.3235E-05
208,1.21722E-05
209,1.1303E-05
210,1.05296E-05
211,9.36741E-06
212,8.44038E-06
213,7.68132E-06
214,7.04656E-06
215,6.50874E-06
216,5.63606E-06
217,4.96913E-06
218,4.44358E-06
219,4.02051E-06
220,3.66958E-06
221,3.28441E-06
222,2.97827E-06
223,2.74243E-06
224,2.51683E-06
225,2.27078E-06
226,2.23095E-06
227,2.36042E-06
228,2.04359E-06
229,1.25736E-06
230,2.26339E-06
231,4.46538E-06
232,2.13035E-06
233,6.83348E-06
234,1.11417E-05
235,5.03297E-05
236,5.19831E-05
237,1.68647E-05
238,7.77057E-06
239,4.89035E-06
240,2.40087E-06
241,1.41628E-06
242,5.16647E-07
243,6.71729E-07
244,7.67366E-07
245,6.58108E-07
246,5.90252E-07
247,5.71367E-07
248,5.47074E-07
249,5.16271E-07
250,4.9072E-07
251,4.92506E-07
252,4.93507E-07
253,4.94264E-07
254,4.95426E-07
255,4.95799E-07
256,4.99917E-07
257,5.07859E-07
258,5.16865E-07
259,5.10583E-07
260,5.04864E-07
261,5.47684E-07
262,5.70698E-07
263,3.6218E-07
264,2.89583E-07
265,1.0757E-06
266,1.08817E-06
267,5.19789E-07
268,5.59971E-06
269,1.02632E-05
270,1.95797E-05
271,1.09075E-05
272,5.01978E-07
273,5.90182E-06
274,1.29584E-05
275,7.55467E-06
276,3.56764E-06
277,1.88815E-06
278,3.7649E-07
279,1.09369E-07
280,5.77319E-07
281,1.67626E-06
282,8.14267E-07
283,5.09949E-06
284,9.15384E-06
285,3.27965E-05
286,3.25308E-05
287,8.56666E-06
288,4.2795E-06
289,3.16217E-06
290,2.04683E-06
291,9.33866E-07
292,4.61628E-07
293,5.336E-06
294,1.01021E-05
295,2.27654E-05
296,2.56875E-05
297,2.04764E-05
298,1.20135E-05
299,4.90684E-06
300,1.7356E-06
301,8.42089E-07
302,1.35536E-06
303,1.83991E-06
304,1.26115E-05
305,2.52546E-05
306,3.41387E-05
307,3.33896E-05
308,3.09332E-05
309,4.9636E-05
310,8.60021E-05
311,0.000111523
312,0.000126171
313,0.000146577
314,0.000144873
315,7.84704E-05
316,5.70471E-06
317,1.21289E-05
318,5.02401E-05
319,4.29261E-05
320,1.33546E-05
321,2.46052E-06
322,3.21385E-06
323,1.96969E-06
324,9.72375E-07
325,6.10079E-07
326,2.59272E-07
327,2.36203E-06
328,1.04428E-05
329,1.90238E-05
330,6.60564E-06
331,2.21062E-05
332,3.71392E-05
333,0.000142122
334,0.000231433
335,0.000269886
336,0.000260076
337,0.000215333
338,0.000160123
339,0.000108155
340,6.63353E-05
341,3.65536E-05
342,1.67413E-05
343,6.67081E-06
344,5.08383E-06
345,5.63581E-06
346,2.83427E-06
347,2.14501E-06
348,1.45703E-06
349,1.15367E-05
350,2.87796E-05
351,4.10902E-05
352,4.8106E-05
353,7.18138E-05
354,0.00011376
355,0.000144803
356,0.000152976
357,0.000148929
358,0.00012897
359,7.8693E-05
360,1.96348E-05
361,9.68204E-06
362,5.90267E-06
363,2.22473E-06
364,4.17314E-07
365,2.0593E-07
366,2.74168E-06
367,5.17248E-06
368,9.97883E-06
369,1.05144E-05
370,9.43015E-06
371,1.03489E-05
372,1.61268E-05
373,2.60854E-05
374,3.26021E-05
375,3.38624E-05
376,3.86467E-05
377,5.03614E-05
378,6.32804E-05
379,7.03445E-05
380,6.42294E-05
381,4.78661E-05
382,3.1433E-05
383,1.98967E-05
384,1.39016E-05
385,1.30094E-05
386,1.73668E-05
387,3.51826E-05
388,7.40393E-05
389,0.00011439
390,0.000131481
391,0.000123207
392,9.41324E-05
393,5.8432E-05
394,2.94908E-05
395,1.23372E-05
396,7.33891E-06
397,7.35066E-06
398,7.27406E-06
399,7.61931E-06
400,7.71467E-06
401,4.29986E-06
402,6.81511E-07
403,7.75511E-06
404,2.01837E-05
405,1.75119E-05
406,3.29214E-06
407,3.61385E-06
408,3.93924E-06
409,4.35483E-06
410,5.51558E-07
411,2.77307E-07
412,2.88741E-10
413,2.7558E-07
414,6.16295E-08
415,5.19795E-08
416,5.27661E-08
417,1.12164E-07
418,1.72155E-07
419,1.32969E-06
420,2.97749E-06
421,4.86461E-06
422,7.30542E-06
423,1.11882E-05
424,1.81233E-05
425,2.66311E-05
426,3.13577E-05
427,3.12174E-05
428,2.9409E-05
429,2.5027E-05
430,1.43307E-05
431,2.15855E-06
432,1.0786E-06
433,8.59824E-07
434,6.41323E-07
435,1.1598E-07
436,8.86379E-08
437,6.15411E-08
438,1.91493E-07
439,4.08299E-08
440,1.43704E-07
441,2.45147E-07
442,1.88451E-06
443,2.38083E-06
444,8.81766E-07
445,3.39335E-08
446,8.47195E-07
447,1.12241E-06
448,3.01045E-07
449,2.03522E-07
450,9.88708E-07
451,1.04162E-06
452,2.85775E-07
453,1.47925E-07
454,1.24291E-08
455,1.04671E-07
456,6.72704E-08
457,2.26256E-08
458,4.57055E-08
459,1.4266E-07
460,6.24072E-08
461,8.70095E-08
462,1.11172E-07
463,1.73683E-06
464,2.57645E-06
465,1.31857E-06
466,6.54328E-07
467,5.03645E-07
468,3.55195E-07
469,1.64062E-06
470,2.96172E-06
471,3.82943E-06
472,3.75277E-06
473,2.87294E-06
474,2.02044E-06
475,2.25801E-06
476,4.57742E-06
477,6.71182E-06
478,4.72243E-06
479,6.56455E-07
480,3.26482E-07
481,2.91424E-07
482,2.56429E-07
483,5.52405E-08
484,5.19641E-08
485,4.86935E-08
486,7.52401E-08
487,3.93733E-08
488,6.41409E-08
489,8.90459E-08
490,3.69019E-07
491,4.56698E-07
492,2.09714E-07
493,2.19227E-09
494,1.42717E-08
495,6.24935E-08
496,5.6258E-08
497,4.75324E-08
498,5.11967E-08
499,4.22173E-08
500,4.08121E-08
