dataset,param_set,channel,group_label,estimated_rotational_temperature,rotational_temperature_ci95_low,rotational_temperature_ci95_high,rotational_temperature_bootstrap_ci95_low,rotational_temperature_bootstrap_ci95_high,rotational_temperature_rel_ci95,rotational_fit_mode,rotational_fit_r2,rotational_fit_rmse,rotational_fit_points,rotational_fit_status,rotational_fit_slope_se,rotational_fit_bootstrap_samples,estimated_vibrational_temperature,vibrational_temperature_ci95_low,vibrational_temperature_ci95_high,vibrational_temperature_bootstrap_ci95_low,vibrational_temperature_bootstrap_ci95_high,vibrational_temperature_rel_ci95,vibrational_fit_r2,vibrational_fit_rmse,vibrational_fit_points,vibrational_fit_status,vibrational_fit_slope_se,vibrational_fit_bootstrap_samples,estimated_excitation_temperature,excitation_temperature_ci95_low,excitation_temperature_ci95_high,excitation_temperature_bootstrap_ci95_low,excitation_temperature_bootstrap_ci95_high,excitation_temperature_rel_ci95,excitation_fit_r2,excitation_fit_rmse,excitation_fit_points,excitation_fit_status,excitation_fit_slope_se,excitation_fit_bootstrap_samples,estimated_electron_density,estimated_electron_density_ci95_low,estimated_electron_density_ci95_high,estimated_electron_density_rel_ci95,hbeta_lorentz_fwhm_nm,hbeta_lorentz_fwhm_ci95_low_nm,hbeta_lorentz_fwhm_ci95_high_nm,hbeta_stark_fwhm_nm,hbeta_vdw_fwhm_nm,electron_density_fit_r2,electron_density_status,relative_dissociation_proxy,relative_dissociation_proxy_ar,relative_dissociation_proxy_o2,current_a,ar_to_n2,o2_to_n2,response_ratio_ar,response_ratio_o2,line_area_N_672,line_area_Ar_750,line_area_O_777,line_area_OH_308
diameter,0.5mm,Base,diameter | 0.5mm | Base,350.0,350.0,750.0,,,1.1428571428571428,synthetic_band,0.83888045893905,7.332770756410112e-06,8.0,ok,,0.0,,692.0777876227235,18091.65887226185,692.0777876227235,18091.65887226185,,0.14024504331848253,3.5460162643801856,5.0,nonphysical_vibrational_slope,5.142809749119661e+19,62.0,15704.029522903329,0.0,72049.89205744836,,,4.587987557739125,0.22982599222192046,1.559143885482499,3.0,ok,8.443071580905322e+18,0.0,58446512548.69021,162466910403.826,134872618698232.05,2304.8449926863445,0.5,0.0,67.00019036559604,0.4403713647260101,0.05962863527398994,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,0.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,407.8888888888889,369.2962962962963,909.5925925925926,,,1.3246163624807046,synthetic_band,0.9094521274265253,1.136728557798034e-05,8.0,ok,,0.0,2282.182150954066,0.0,6537.471982744679,1278.4061261956033,2882.1740320863146,2.8645706391190946,0.3558734904012848,0.9656366470250023,4.0,ok,3.0191812294532366e+19,149.0,,,,,,,,,2.0,insufficient_atomic_lines,,0.0,59656775441.960175,141813637895.17072,98650543631499.28,1651.2580384007317,0.5,0.0,54.40768079625921,0.4464298098133644,0.05357019018663559,-0.15064008280171604,ok,,,,,,,1.0,1.0,,,,0.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,350.0,364.81481481481484,942.5925925925926,,,1.650793650793651,synthetic_band,0.7170550109033578,4.972392075582198e-06,8.0,ok,,0.0,,127414.41212652985,127414.41212677203,127414.41212652985,127414.41212677203,,0.1866754842780015,2.822229932655133,4.0,nonphysical_vibrational_slope,4.640342210218686e+19,21.0,,,,,,,,,2.0,insufficient_atomic_lines,,0.0,58446512548.69021,162466910403.826,134872618698232.05,2304.8449926863445,0.5,0.0,67.00019036559604,0.4403713647260101,0.05962863527398994,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,5.9499999999999706e-09
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,862.530864197531,678.6882716049383,996.2345679012346,,,0.3681564445716739,synthetic_band,0.9668213091498465,5.548742719831249e-07,8.0,ok,,0.0,222.89124483818424,94.83333955503753,350.94915012133094,166.23621100204562,2348.6791666095205,1.1490617801171585,0.7950566037914192,6.567820648712411,5.0,ok,9.525351702968445e+19,267.0,14294.129057927365,0.0,39250.27452180918,10281.180981586394,30706.012302737956,2.745901786862727,0.386558747836911,1.126560753048407,4.0,ok,4.5135967542830515e+18,108.0,64090818732.22322,170339959309.44986,134946060552262.6,2102.886548478298,0.5,0.0,67.00019036559604,0.4682853261436845,0.03171467385631551,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,0.0
diameter,1mm,Base,diameter | 1mm | Base,350.0,350.0,764.8148148148148,,,1.1851851851851851,synthetic_band,0.5782704267386619,9.185069498433934e-06,8.0,ok,,0.0,,,,,,,0.4811651514839591,2.7446448466856253,4.0,nonphysical_vibrational_slope,4.512775938901789e+19,0.0,2671.3941758056644,0.0,11977.5007479265,1385.9512451397852,2813.257273903198,4.483614157882265,0.1366498127057839,12.02775515862281,4.0,ok,4.818953305302873e+19,110.0,58446512548.69021,162466910403.826,134872618698232.05,2304.8449926863445,0.5,0.0,67.00019036559604,0.4403713647260101,0.05962863527398994,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,7.02e-07
diameter,1mm,Middle,diameter | 1mm | Middle,350.0,350.0,675.9259259259259,,,0.931216931216931,synthetic_band,0.7848332363980235,2.636136551337385e-05,8.0,ok,,0.0,,,,,,,,,3.0,insufficient_vibrational_bands,,0.0,,,,,,,,,2.0,insufficient_atomic_lines,,0.0,58446512548.69021,162466910403.826,134872618698232.05,2304.8449926863445,0.5,0.0,67.00019036559604,0.4403713647260101,0.05962863527398994,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,0.0
diameter,1mm,Tip,diameter | 1mm | Tip,350.0,350.0,631.4814814814815,,,0.8042328042328043,synthetic_band,0.7333993682466952,4.828323687567548e-06,8.0,ok,,0.0,,5661.1154751964705,34381.73155082356,5661.1154751964705,34381.73155082356,,0.20624678590554135,2.7213300680624655,4.0,nonphysical_vibrational_slope,8.508571713753694e+19,30.0,2671.3941758056644,0.0,11977.5007479265,1385.9512451397852,2813.257273903198,4.483614157882265,0.1366498127057839,12.02775515862281,4.0,ok,4.818953305302873e+19,110.0,58446512548.69021,162466910403.826,134872618698232.05,2304.8449926863445,0.5,0.0,67.00019036559604,0.4403713647260101,0.05962863527398994,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,6.499999999999959e-09
