PC1,PC2,PC3,PC4,sample_id,dataset,param_set,trial,channel,normalize
-109.17531070070412,2.0691610181515454,-0.006821211959126949,-4.3298157327506e-15,diameter__1mm__0_5_cm_below,diameter,1mm,,0.5 cm below,none
34.34214434630052,-6.789488351875401,-2.232789629883623,-4.329815732750625e-15,diameter__1mm__base,diameter,1mm,,Base,none
44.789563363211926,21.514451256983683,0.5864722692941563,-4.3298157327505984e-15,diameter__1mm__middle,diameter,1mm,,Middle,none
30.043602991191655,-16.79412392325988,1.653138572548617,-4.329815732750573e-15,diameter__1mm__tip,diameter,1mm,,Tip,none
