,PC1,PC2,PC3,PC4
total_irradiance,2.250723741405436e-05,0.0001597479218002361,0.0002518184950220434,-0.23871600032718335
centroid_nm,0.3647177469345568,0.8190964104223711,-0.3348252394500357,0.28136291829115634
peak_wavelength_nm,0.927563785574567,-0.35383936806818406,0.11506578098446713,-0.03330333750254384
peak_irradiance,1.5057721279031252e-06,7.546125924251615e-06,3.0800526894924728e-06,-1.4371721682082784e-05
UVC_integral,-0.0,-0.0,-0.0,-0.0
UVC_frac,-0.0028641387782686848,-0.0047805862468765685,0.013596944328751423,0.0403361396019874
UVB_integral,2.5071031689154022e-06,1.69403645669972e-05,1.7221949842130577e-05,-3.63178224710777e-05
UVB_frac,0.00046065494793661187,0.0005249616281726725,-0.0075700755319629675,-0.01219576949879123
UVA_integral,1.9165450706657532e-05,0.00013445717586913584,0.00021217582879273469,-0.00016681502522745113
UVA_frac,0.002391060433678955,0.0031750301989610153,-0.00936794638113202,-0.028021253035879386
uva_uvb_ratio,-0.049465108171199104,-0.007747043206348954,0.609512623585876,0.7655180674947542
uvb_uvc_ratio,0.00835131774812042,0.05642941583819146,0.0573673940334102,-0.09472157134430693
uva_uvc_ratio,0.06384131719097327,0.44788527776610904,0.7067709804241269,-0.5149654536419774
