dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
diameter,0.5mm,Base,317.0,1.81e-05,,1
diameter,0.5mm,Base,318.0,1.02e-06,,1
diameter,0.5mm,Base,319.0,2.69e-06,,1
diameter,0.5mm,Base,320.0,4.29e-06,,1
diameter,0.5mm,Base,321.0,3.31e-06,,1
diameter,0.5mm,Base,322.0,1.63e-06,,1
diameter,0.5mm,Base,323.0,9.04e-07,,1
diameter,0.5mm,Base,324.0,1.95e-07,,1
diameter,0.5mm,Base,325.0,3.48e-07,,1
diameter,0.5mm,Base,326.0,1.74e-07,,1
diameter,0.5mm,Base,327.0,3.28e-07,,1
diameter,0.5mm,Base,328.0,4.82e-07,,1
diameter,0.5mm,Base,329.0,1.28e-06,,1
diameter,0.5mm,Base,330.0,6.36e-07,,1
diameter,0.5mm,Base,331.0,4.84e-06,,1
diameter,0.5mm,Base,332.0,8.91e-06,,1
diameter,0.5mm,Base,333.0,3.95e-05,,1
diameter,0.5mm,Base,334.0,7.74e-05,,1
diameter,0.5mm,Base,335.0,0.000105,,1
diameter,0.5mm,Base,336.0,0.000103,,1
diameter,0.5mm,Base,337.0,7.94e-05,,1
diameter,0.5mm,Base,338.0,5.83e-05,,1
diameter,0.5mm,Base,339.0,4.24e-05,,1
diameter,0.5mm,Base,340.0,2.36e-05,,1
diameter,0.5mm,Base,341.0,6.83e-06,,1
diameter,0.5mm,Base,342.0,9.03e-08,,1
diameter,0.5mm,Base,343.0,6.94e-08,,1
diameter,0.5mm,Base,344.0,3e-07,,1
diameter,0.5mm,Base,345.0,8.81e-08,,1
diameter,0.5mm,Base,346.0,1.05e-07,,1
diameter,0.5mm,Base,347.0,7.01e-08,,1
diameter,0.5mm,Base,348.0,1.78e-07,,1
diameter,0.5mm,Base,349.0,2.86e-07,,1
diameter,0.5mm,Base,350.0,1.04e-06,,1
diameter,0.5mm,Base,351.0,5.21e-07,,1
diameter,0.5mm,Base,352.0,2.98e-06,,1
diameter,0.5mm,Base,353.0,5.45e-06,,1
diameter,0.5mm,Base,354.0,2.53e-05,,1
diameter,0.5mm,Base,355.0,3.8e-05,,1
diameter,0.5mm,Base,356.0,3.62e-05,,1
diameter,0.5mm,Base,357.0,2.59e-05,,1
diameter,0.5mm,Base,358.0,1.34e-05,,1
diameter,0.5mm,Base,359.0,4.55e-06,,1
diameter,0.5mm,Base,360.0,5.98e-07,,1
diameter,0.5mm,Base,361.0,2.98e-07,,1
diameter,0.5mm,Base,362.0,6.13e-09,,1
diameter,0.5mm,Base,363.0,2e-07,,1
diameter,0.5mm,Base,364.0,1.01e-07,,1
diameter,0.5mm,Base,365.0,6.51e-08,,1
diameter,0.5mm,Base,366.0,8.55e-08,,1
diameter,0.5mm,Base,367.0,6.86e-08,,1
diameter,0.5mm,Base,368.0,8.47e-08,,1
diameter,0.5mm,Base,369.0,1.63e-07,,1
diameter,0.5mm,Base,370.0,4.62e-08,,1
diameter,0.5mm,Base,371.0,1.71e-07,,1
diameter,0.5mm,Base,372.0,2.91e-07,,1
diameter,0.5mm,Base,373.0,1.71e-06,,1
diameter,0.5mm,Base,374.0,2.09e-06,,1
diameter,0.5mm,Base,375.0,1e-06,,1
diameter,0.5mm,Base,376.0,9.8e-07,,1
diameter,0.5mm,Base,377.0,3.55e-06,,1
diameter,0.5mm,Base,378.0,8.46e-06,,1
diameter,0.5mm,Base,379.0,1.25e-05,,1
diameter,0.5mm,Base,380.0,9.64e-06,,1
diameter,0.5mm,Base,381.0,2.24e-06,,1
diameter,0.5mm,Base,382.0,1.1e-06,,1
diameter,0.5mm,Base,383.0,5.89e-07,,1
diameter,0.5mm,Base,384.0,9.49e-08,,1
diameter,0.5mm,Base,385.0,1.33e-06,,1
diameter,0.5mm,Base,386.0,2.55e-06,,1
diameter,0.5mm,Base,387.0,1.61e-05,,1
diameter,0.5mm,Base,388.0,4.68e-05,,1
diameter,0.5mm,Base,389.0,7.92e-05,,1
diameter,0.5mm,Base,390.0,9.37e-05,,1
diameter,0.5mm,Base,391.0,9.04e-05,,1
diameter,0.5mm,Base,392.0,7.34e-05,,1
diameter,0.5mm,Base,393.0,4.86e-05,,1
diameter,0.5mm,Base,394.0,2.27e-05,,1
diameter,0.5mm,Base,395.0,5.01e-06,,1
diameter,0.5mm,Base,396.0,2.61e-06,,1
diameter,0.5mm,Base,397.0,1.85e-07,,1
diameter,0.5mm,Base,398.0,1.98e-07,,1
diameter,0.5mm,Base,399.0,1.49e-08,,1
diameter,0.5mm,Base,400.0,2.38e-08,,1
diameter,0.5mm,Base,401.0,7.07e-08,,1
diameter,0.5mm,Base,402.0,6.58e-08,,1
diameter,0.5mm,Base,403.0,5.46e-08,,1
diameter,0.5mm,Base,404.0,5.7e-08,,1
diameter,0.5mm,Base,405.0,6.01e-08,,1
diameter,0.5mm,Base,406.0,5.97e-08,,1
diameter,0.5mm,Base,407.0,5.94e-08,,1
diameter,0.5mm,Base,408.0,5.99e-08,,1
diameter,0.5mm,Base,409.0,6.04e-08,,1
diameter,0.5mm,Base,410.0,6.07e-08,,1
diameter,0.5mm,Base,411.0,6.12e-08,,1
diameter,0.5mm,Base,412.0,6.14e-08,,1
diameter,0.5mm,Base,413.0,6.09e-08,,1
diameter,0.5mm,Base,414.0,6.19e-08,,1
diameter,0.5mm,Base,415.0,6.53e-08,,1
diameter,0.5mm,Base,416.0,6.17e-08,,1
diameter,0.5mm,Base,417.0,5.09e-08,,1
diameter,0.5mm,Base,418.0,7.02e-08,,1
diameter,0.5mm,Base,419.0,1.09e-07,,1
diameter,0.5mm,Base,420.0,2.26e-08,,1
diameter,0.5mm,Base,421.0,1.49e-07,,1
diameter,0.5mm,Base,422.0,2.77e-07,,1
diameter,0.5mm,Base,423.0,6.91e-07,,1
diameter,0.5mm,Base,424.0,3.47e-07,,1
diameter,0.5mm,Base,425.0,2.7e-06,,1
diameter,0.5mm,Base,426.0,5.06e-06,,1
diameter,0.5mm,Base,427.0,1.73e-05,,1
diameter,0.5mm,Base,428.0,1.96e-05,,1
diameter,0.5mm,Base,429.0,1.16e-05,,1
diameter,0.5mm,Base,430.0,3.97e-06,,1
diameter,0.5mm,Base,431.0,4.75e-07,,1
diameter,0.5mm,Base,432.0,2.37e-07,,1
diameter,0.5mm,Base,433.0,2.05e-07,,1
diameter,0.5mm,Base,434.0,1.74e-07,,1
diameter,0.5mm,Base,435.0,7.44e-08,,1
diameter,0.5mm,Base,436.0,3.65e-08,,1
diameter,0.5mm,Base,437.0,6.41e-08,,1
diameter,0.5mm,Base,438.0,7.13e-08,,1
diameter,0.5mm,Base,439.0,6.34e-08,,1
diameter,0.5mm,Base,440.0,6.18e-08,,1
diameter,0.5mm,Base,441.0,6.34e-08,,1
diameter,0.5mm,Base,442.0,6.32e-08,,1
diameter,0.5mm,Base,443.0,6.22e-08,,1
diameter,0.5mm,Base,444.0,6.18e-08,,1
diameter,0.5mm,Base,445.0,6.16e-08,,1
diameter,0.5mm,Base,446.0,6.1e-08,,1
diameter,0.5mm,Base,447.0,6.05e-08,,1
diameter,0.5mm,Base,448.0,6.01e-08,,1
diameter,0.5mm,Base,449.0,5.95e-08,,1
diameter,0.5mm,Base,450.0,5.9e-08,,1
diameter,0.5mm,Base,451.0,5.89e-08,,1
diameter,0.5mm,Base,452.0,5.85e-08,,1
diameter,0.5mm,Base,453.0,5.64e-08,,1
diameter,0.5mm,Base,454.0,5.59e-08,,1
diameter,0.5mm,Base,455.0,6.15e-08,,1
diameter,0.5mm,Base,456.0,5.92e-08,,1
diameter,0.5mm,Base,457.0,3.57e-08,,1
diameter,0.5mm,Base,458.0,4.76e-08,,1
diameter,0.5mm,Base,459.0,1.32e-07,,1
diameter,0.5mm,Base,460.0,6.15e-08,,1
diameter,0.5mm,Base,461.0,8.38e-08,,1
diameter,0.5mm,Base,462.0,1.06e-07,,1
diameter,0.5mm,Base,463.0,1.62e-06,,1
diameter,0.5mm,Base,464.0,2.63e-06,,1
diameter,0.5mm,Base,465.0,1.96e-06,,1
diameter,0.5mm,Base,466.0,8.12e-07,,1
diameter,0.5mm,Base,467.0,2.09e-07,,1
diameter,0.5mm,Base,468.0,2.27e-08,,1
diameter,0.5mm,Base,469.0,2.39e-08,,1
diameter,0.5mm,Base,470.0,5.81e-08,,1
diameter,0.5mm,Base,471.0,5.52e-08,,1
diameter,0.5mm,Base,472.0,4.65e-08,,1
diameter,0.5mm,Base,473.0,4.73e-08,,1
diameter,0.5mm,Base,474.0,4.91e-08,,1
diameter,0.5mm,Base,475.0,4.84e-08,,1
diameter,0.5mm,Base,476.0,4.76e-08,,1
diameter,0.5mm,Base,477.0,4.75e-08,,1
diameter,0.5mm,Base,478.0,4.73e-08,,1
diameter,0.5mm,Base,479.0,4.71e-08,,1
diameter,0.5mm,Base,480.0,4.68e-08,,1
diameter,0.5mm,Base,481.0,4.67e-08,,1
diameter,0.5mm,Base,482.0,4.67e-08,,1
diameter,0.5mm,Base,483.0,4.67e-08,,1
diameter,0.5mm,Base,484.0,4.66e-08,,1
diameter,0.5mm,Base,485.0,4.66e-08,,1
diameter,0.5mm,Base,486.0,4.67e-08,,1
