,PC1,PC2,PC3
total_irradiance,7.188312390184417e-06,8.583052803820594e-05,0.5328617746608649
centroid_nm,-0.012582018663223598,0.9723825253441786,-0.18705037973003127
peak_wavelength_nm,0.996818221696171,0.012571795026580164,0.01986446051079876
peak_irradiance,2.4696077153905126e-07,3.7059062274205012e-06,1.3076468847166684e-05
UVC_integral,-0.0,-0.0,-0.0
UVC_frac,0.0011924315096380977,-0.0065042675909521815,-0.030162002252333297
UVB_integral,-3.0688288598129927e-06,1.390601422513651e-05,4.932127928441362e-05
UVB_frac,-0.0022522236786840237,0.0017951175342020653,0.012788582655849973
UVA_integral,8.45764540787605e-06,6.415810370026286e-05,0.00018711524001098533
UVA_frac,0.0007830517135757514,0.0033714589936412556,0.021233894799990403
uva_uvb_ratio,0.07273104116467002,-0.0802346621824315,-0.5214686067626643
uvb_uvc_ratio,-0.010222461221643884,0.04632180472023741,0.15724214899589573
uva_uvc_ratio,0.028172946800850945,0.2137146635052535,0.6184634802206271
