dataset,param_set,channel,group_label,estimated_rotational_temperature,rotational_fit_mode,rotational_fit_r2,rotational_fit_rmse,rotational_fit_points,rotational_fit_status,estimated_vibrational_temperature,vibrational_fit_r2,vibrational_fit_points,vibrational_fit_status,estimated_excitation_temperature,excitation_fit_r2,excitation_fit_points,excitation_fit_status,estimated_electron_density,hbeta_lorentz_fwhm_nm,hbeta_stark_fwhm_nm,hbeta_vdw_fwhm_nm,electron_density_fit_r2,electron_density_status,relative_dissociation_proxy,relative_dissociation_proxy_ar,relative_dissociation_proxy_o2,current_a,ar_to_n2,o2_to_n2,response_ratio_ar,response_ratio_o2,line_area_N_672,line_area_Ar_750,line_area_O_777,line_area_OH_308
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,450.0,synthetic_band,0.7707312972048567,7.125717652740657e-06,8.0,ok,,0.029540201123717136,4.0,nonphysical_vibrational_slope,7824.826967959425,0.4557353456481449,4.0,ok,60371895091.75897,0.5,0.44999035851648744,0.05000964148351255,-1.0499418072622948,ok,,,,,,,1.0,1.0,,,,8.029474999999998e-06
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,1153.4883720930234,synthetic_band,0.9378484341603316,3.0176700122339602e-06,8.0,ok,,0.29403610321832907,4.0,nonphysical_vibrational_slope,,,1.0,insufficient_atomic_lines,65293240659.57619,0.5,0.47412423214940397,0.02587576785059605,-1.0495495707593783,ok,,,,1.0,,,1.0,1.0,,,,0.0
air,1H.9A,bulk,air | 1H.9A | bulk,450.0,synthetic_band,0.7304179502728105,6.301624842050809e-06,8.0,ok,6604.245582113874,0.573603775203704,4.0,ok,,,0.0,insufficient_atomic_lines,60371895091.75897,0.5,0.44999035851648744,0.05000964148351255,-0.9802693312521791,ok,,,,9.0,,,1.0,1.0,,,,9.508000000000011e-07
