dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
air,100H.cont.trial,bulk,396.0,2.74853e-06,,1
air,100H.cont.trial,bulk,397.0,9.19821e-07,,1
air,100H.cont.trial,bulk,398.0,6.68075e-07,,1
air,100H.cont.trial,bulk,399.0,3.3635e-07,,1
air,100H.cont.trial,bulk,400.0,2.24897e-07,,1
air,100H.cont.trial,bulk,401.0,1.11695e-07,,1
air,100H.cont.trial,bulk,402.0,9.04148e-08,,1
air,100H.cont.trial,bulk,403.0,4.25179e-08,,1
air,100H.cont.trial,bulk,404.0,5.1488e-08,,1
air,100H.cont.trial,bulk,405.0,6.35064e-08,,1
air,100H.cont.trial,bulk,406.0,6.08504e-08,,1
air,100H.cont.trial,bulk,407.0,5.84155e-08,,1
air,100H.cont.trial,bulk,408.0,5.97103e-08,,1
air,100H.cont.trial,bulk,409.0,6.06938e-08,,1
air,100H.cont.trial,bulk,410.0,6.07533e-08,,1
air,100H.cont.trial,bulk,411.0,6.09157e-08,,1
air,100H.cont.trial,bulk,412.0,6.13079e-08,,1
air,100H.cont.trial,bulk,413.0,6.16491e-08,,1
air,100H.cont.trial,bulk,414.0,6.19394e-08,,1
air,100H.cont.trial,bulk,415.0,6.22506e-08,,1
air,100H.cont.trial,bulk,416.0,6.25649e-08,,1
air,100H.cont.trial,bulk,417.0,6.28769e-08,,1
air,100H.cont.trial,bulk,418.0,6.31891e-08,,1
air,100H.cont.trial,bulk,419.0,6.3506e-08,,1
air,100H.cont.trial,bulk,420.0,6.38267e-08,,1
air,100H.cont.trial,bulk,421.0,6.39986e-08,,1
air,100H.cont.trial,bulk,422.0,6.41714e-08,,1
air,100H.cont.trial,bulk,423.0,6.43452e-08,,1
air,100H.cont.trial,bulk,424.0,6.45199e-08,,1
air,100H.cont.trial,bulk,425.0,6.46956e-08,,1
air,100H.cont.trial,bulk,426.0,6.47949e-08,,1
air,100H.cont.trial,bulk,427.0,6.48945e-08,,1
air,100H.cont.trial,bulk,428.0,6.49944e-08,,1
air,100H.cont.trial,bulk,429.0,6.50946e-08,,1
air,100H.cont.trial,bulk,430.0,6.51951e-08,,1
air,100H.cont.trial,bulk,431.0,6.51543e-08,,1
air,100H.cont.trial,bulk,432.0,6.51136e-08,,1
air,100H.cont.trial,bulk,433.0,6.50729e-08,,1
air,100H.cont.trial,bulk,434.0,6.50322e-08,,1
air,100H.cont.trial,bulk,435.0,6.49916e-08,,1
air,100H.cont.trial,bulk,436.0,6.46984e-08,,1
air,100H.cont.trial,bulk,437.0,6.44078e-08,,1
air,100H.cont.trial,bulk,438.0,6.41198e-08,,1
air,100H.cont.trial,bulk,439.0,6.38343e-08,,1
air,100H.cont.trial,bulk,440.0,6.35514e-08,,1
air,100H.cont.trial,bulk,441.0,6.31364e-08,,1
air,100H.cont.trial,bulk,442.0,6.27268e-08,,1
air,100H.cont.trial,bulk,443.0,6.23225e-08,,1
air,100H.cont.trial,bulk,444.0,6.19233e-08,,1
air,100H.cont.trial,bulk,445.0,6.15293e-08,,1
air,100H.cont.trial,bulk,446.0,6.103e-08,,1
air,100H.cont.trial,bulk,447.0,6.05388e-08,,1
air,100H.cont.trial,bulk,448.0,6.00554e-08,,1
air,100H.cont.trial,bulk,449.0,5.95797e-08,,1
