dataset,param_set,channel,candidate_rank,peak_rank,peak_wavelength_nm_0p1,peak_intensity_refined,delta_nm,trace_species,target_wavelength_nm,source_url,status
air,1H.1A-CONT,bulk,1.0,10.0,385.1,1.1678061484633698e-05,0.0031999999999925,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.1A-CONT,bulk,,2.0,390.5,5.367306342915215e-05,0.5,N2+,390.0,configs/target_species_lines.csv,target_match
air,1H.1A-CONT,bulk,2.0,2.0,390.5,5.367306342915215e-05,0.2454999999999927,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.9A,bulk,,1.0,201.0,0.0021073833793414,,Unassigned,,,sub300_unassigned
air,1H.9A,bulk,,7.0,205.9,5.10174744460707e-05,,Unassigned,,,sub300_unassigned
air,1H.9A,bulk,3.0,10.0,270.1,2.718590585679953e-05,0.4881000000000313,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.9A,bulk,,9.0,296.6,3.3149731576002154e-05,0.3999999999999772,O I,297.0,configs/target_species_lines.csv,target_match
air,1H.9A,bulk,1.0,9.0,296.6,3.3149731576002154e-05,0.0097999999999842,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.9A,bulk,,4.0,314.1,0.0001650867338906,0.8999999999999773,N2,315.0,configs/target_species_lines.csv,target_match
air,1H.9A,bulk,2.0,4.0,314.1,0.0001650867338906,0.132000000000005,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
