dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
air,100H,bulk,304.0,1.2968253333333334e-06,1.1287505470409898e-06,3
air,100H,bulk,305.0,2.183157e-06,2.060492008219639e-06,3
air,100H,bulk,306.0,1.1332619166666666e-05,1.090431798659834e-05,3
air,100H,bulk,307.0,1.9316408000000002e-05,1.7335338500986707e-05,3
air,100H,bulk,308.0,2.1479548666666664e-05,1.853538791775088e-05,3
air,100H,bulk,309.0,1.6760027e-05,1.5970665104299416e-05,3
air,100H,bulk,310.0,1.20577e-05,1.59124762101189e-05,3
air,100H,bulk,311.0,1.8611516666666666e-05,1.5947865803951115e-05,3
air,100H,bulk,312.0,3.595555333333333e-05,2.490339347576015e-05,3
air,100H,bulk,313.0,4.90007e-05,3.936597565626946e-05,3
air,100H,bulk,314.0,5.0343299999999996e-05,4.195738419301185e-05,3
air,100H,bulk,315.0,3.81167e-05,2.3469954645034998e-05,3
air,100H,bulk,316.0,1.996661333333333e-05,1.439673014217233e-05,3
air,100H,bulk,317.0,9.998096666666665e-06,6.562657596738789e-06,3
air,100H,bulk,318.0,1.3236369999999999e-06,7.586644785206434e-07,3
air,100H,bulk,319.0,9.660473333333333e-07,8.5257492011807e-07,3
air,100H,bulk,320.0,9.626933333333333e-08,3.2140338242360376e-08,3
air,100H,bulk,321.0,4.872093333333333e-07,3.1897950775297986e-07,3
air,100H,bulk,322.0,9.13083e-08,3.1091921264051857e-08,3
air,100H,bulk,323.0,1.2121533333333333e-07,2.9938051862693626e-08,3
air,100H,bulk,324.0,1.29042e-07,7.97362546148237e-09,3
air,100H,bulk,325.0,2.5796066666666665e-07,3.4549334007088085e-08,3
air,100H,bulk,326.0,9.694860000000002e-08,6.82680424304081e-08,3
air,100H,bulk,327.0,4.0857166666666667e-07,1.754477816512176e-07,3
air,100H,bulk,328.0,7.185993333333334e-07,2.9408814861250923e-07,3
air,100H,bulk,329.0,2.0408666666666664e-06,9.293555152541643e-07,3
air,100H,bulk,330.0,1.0178336666666666e-06,4.634929471160628e-07,3
air,100H,bulk,331.0,7.895463333333333e-06,3.671851143365337e-06,3
air,100H,bulk,332.0,1.4565696666666669e-05,6.783459287563634e-06,3
air,100H,bulk,333.0,6.0282900000000005e-05,2.4135047801278542e-05,3
air,100H,bulk,334.0,0.0001046218,2.93800489332472e-05,3
air,100H,bulk,335.0,0.00012906466666666666,2.346909082886112e-05,3
air,100H,bulk,336.0,0.00012444666666666668,1.8791312203604437e-05,3
air,100H,bulk,337.0,9.550653333333332e-05,1.755278714772481e-05,3
air,100H,bulk,338.0,5.850023333333333e-05,1.7081581641151775e-05,3
air,100H,bulk,339.0,2.610041e-05,1.6886575321192275e-05,3
air,100H,bulk,340.0,9.745016666666667e-06,6.4486160129312505e-06,3
air,100H,bulk,341.0,1.3244563333333334e-06,9.216027420696694e-07,3
air,100H,bulk,342.0,7.15427e-07,5.065644215961086e-07,3
air,100H,bulk,343.0,6.9591e-08,5.356868344135405e-08,3
air,100H,bulk,344.0,4.2219399999999995e-07,3.3122167108901554e-07,3
air,100H,bulk,345.0,8.611863333333334e-08,2.2815336686609153e-08,3
air,100H,bulk,346.0,1.2789806666666668e-07,7.551371912078846e-08,3
air,100H,bulk,347.0,9.305103333333334e-08,3.4779191377939386e-08,3
air,100H,bulk,348.0,1.9942366666666666e-07,8.536496837891602e-08,3
air,100H,bulk,349.0,2.011683333333333e-07,4.73417917102145e-08,3
air,100H,bulk,350.0,6.578343333333334e-07,1.699434834947587e-07,3
air,100H,bulk,351.0,5.69457e-07,2.4028851415954114e-07,3
air,100H,bulk,352.0,3.460307e-06,3.6994102487189764e-06,3
air,100H,bulk,353.0,1.6740393333333334e-05,1.067814195542152e-05,3
air,100H,bulk,354.0,4.262826666666667e-05,1.94755304691126e-05,3
air,100H,bulk,355.0,6.19452e-05,2.2872574705747493e-05,3
air,100H,bulk,356.0,6.477403333333334e-05,1.9801160132763263e-05,3
air,100H,bulk,357.0,5.236223333333333e-05,2.006515553748172e-05,3
air,100H,bulk,358.0,3.169647333333333e-05,2.2035386307122763e-05,3
air,100H,bulk,359.0,1.639397e-05,1.1765288962864448e-05,3
air,100H,bulk,360.0,4.75805e-06,3.6805023510792653e-06,3
air,100H,bulk,361.0,1.27325e-06,2.297715511110982e-07,3
air,100H,bulk,362.0,4.937209e-07,5.835425833107898e-07,3
air,100H,bulk,363.0,3.8081400000000004e-07,3.3925743000117185e-07,3
air,100H,bulk,364.0,1.0791143333333333e-07,5.7122481056614946e-08,3
air,100H,bulk,365.0,1.1640156666666668e-07,5.0226949299786596e-08,3
air,100H,bulk,366.0,8.428366666666667e-08,5.105930328875764e-09,3
air,100H,bulk,367.0,8.879633333333334e-08,2.985379216269406e-08,3
air,100H,bulk,368.0,8.264920000000001e-08,8.236992108773695e-10,3
air,100H,bulk,369.0,9.908446666666666e-08,1.1794100162934576e-08,3
air,100H,bulk,370.0,7.108466666666666e-08,4.543757995683017e-09,3
air,100H,bulk,371.0,8.883416666666666e-08,3.3330488484019155e-08,3
air,100H,bulk,372.0,1.2965003333333334e-07,2.8951698514997928e-08,3
air,100H,bulk,373.0,5.27495e-07,1.5278440816719485e-07,3
air,100H,bulk,374.0,1.1875816666666667e-06,1.681859837251111e-06,3
air,100H,bulk,375.0,3.662070333333333e-06,2.774725186704142e-06,3
air,100H,bulk,376.0,4.883450000000001e-06,2.748202940614102e-06,3
air,100H,bulk,377.0,1.0236776666666666e-05,7.640829735678797e-06,3
air,100H,bulk,378.0,1.406989e-05,7.672071099533686e-06,3
air,100H,bulk,379.0,1.4473693333333334e-05,9.979947737044184e-06,3
air,100H,bulk,380.0,1.1610522666666666e-05,1.322372278669518e-05,3
air,100H,bulk,381.0,6.978287666666667e-06,9.134148059746258e-06,3
air,100H,bulk,382.0,2.926141866666667e-06,3.829316520192925e-06,3
air,100H,bulk,383.0,7.04922e-07,3.419643117227293e-07,3
air,100H,bulk,384.0,6.833939999999999e-07,4.96207896524229e-07,3
air,100H,bulk,385.0,1.2064363333333333e-06,1.1138181901595668e-06,3
air,100H,bulk,386.0,2.569764e-06,2.079882740437066e-06,3
air,100H,bulk,387.0,1.5803533333333332e-05,4.06969293354343e-06,3
air,100H,bulk,388.0,4.0127366666666665e-05,1.4639002611289243e-05,3
air,100H,bulk,389.0,7.155156666666667e-05,1.5828787493782754e-05,3
air,100H,bulk,390.0,8.37513e-05,1.8193884059210664e-05,3
air,100H,bulk,391.0,7.55458e-05,2.128804547087402e-05,3
air,100H,bulk,392.0,5.206933333333334e-05,2.3012820206644237e-05,3
air,100H,bulk,393.0,2.588906e-05,1.912636780543551e-05,3
air,100H,bulk,394.0,9.131343333333333e-06,6.2719356544557545e-06,3
air,100H,bulk,395.0,4.296951e-06,3.562140941439993e-06,3
air,100H,bulk,396.0,2.444820333333333e-06,1.7467581113938853e-06,3
air,100H,bulk,397.0,4.2365966666666663e-07,1.470558482527415e-07,3
air,100H,bulk,398.0,4.250493333333333e-07,2.192698405192409e-07,3
air,100H,bulk,399.0,2.1482143333333335e-07,1.089725973309957e-07,3
air,100H,bulk,400.0,1.5265260000000002e-07,5.990533081187351e-08,3
air,100H,bulk,401.0,7.962176666666667e-08,2.8105976356343382e-08,3
air,100H,bulk,402.0,6.392609999999999e-08,1.726748795048081e-08,3
air,100H,bulk,403.0,7.281866666666667e-08,3.426312970721346e-08,3
air,100H,bulk,404.0,9.02516e-08,5.857429610571518e-08,3
air,100H,bulk,405.0,6.668196666666666e-08,1.1160695466382608e-08,3
air,100H,bulk,406.0,2.9769173333333335e-07,4.120557904597548e-07,3
air,100H,bulk,407.0,5.313762666666667e-07,8.176786687305798e-07,3
air,100H,bulk,408.0,1.2009929666666667e-06,1.976397311434293e-06,3
air,100H,bulk,409.0,9.294129e-07,1.5050890277183372e-06,3
air,100H,bulk,410.0,1.5276966666666667e-07,1.594459597609589e-07,3
air,100H,bulk,411.0,1.0151783333333334e-07,7.016380322205554e-08,3
air,100H,bulk,412.0,4.9757833333333323e-08,2.0026953101341533e-08,3
air,100H,bulk,413.0,1.0375926666666667e-07,7.3172853544558e-08,3
air,100H,bulk,414.0,6.186706666666666e-08,1.2675726146195077e-10,3
