species,air_mean_relative_concentration,diameter_mean_relative_concentration,air_minus_diameter,abs_delta
OH,0.06376044476586194,0.006078607126818288,0.05768183763904365,0.05768183763904365
N2,0.7022558029266607,0.7385321895111115,-0.03627638658445087,0.03627638658445087
O II,0.0,0.006621478769710572,-0.006621478769710572,0.006621478769710572
N2+,0.24992386349894286,0.25523409717838674,-0.005310233679443888,0.005310233679443888
