dataset,param_set,channel,candidate_rank,peak_rank,peak_wavelength_nm_0p1,peak_intensity_refined,delta_nm,trace_species,target_wavelength_nm,source_url,status
air,5H..01A,bulk,2.0,9.0,241.2,2.6631383207305307e-05,0.0377999999999758,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..01A,bulk,,8.0,254.4,2.976444934037089e-05,,Unassigned,,,sub300_unassigned
air,5H..01A,bulk,3.0,5.0,309.4,4.4962524398582725e-05,0.2463999999999941,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..01A,bulk,,5.0,309.4,4.4962524398582725e-05,1.3999999999999773,OH,308.0,configs/target_species_lines.csv,target_match
air,5H..01A,bulk,,4.0,313.8,9.43828971110658e-05,1.1999999999999886,N2,315.0,configs/target_species_lines.csv,target_match
air,5H..01A,bulk,1.0,4.0,313.8,9.43828971110658e-05,0.0335000000000036,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..01A,bulk,1.0,1.0,335.4,0.0001623862697248,0.0555098000000384,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..01A,bulk,,1.0,335.4,0.0001623862697248,0.6000000000000227,N2,336.0,configs/target_species_lines.csv,target_match
air,5H..01A,bulk,2.0,1.0,335.4,0.0001623862697248,0.2690000000000054,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..01A,bulk,,3.0,356.0,9.948951240847532e-05,0.0,N2,356.0,configs/target_species_lines.csv,target_match
air,5H..01A,bulk,3.0,3.0,356.0,9.948951240847532e-05,0.2128000000000156,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..01A,bulk,,6.0,378.9,4.130436244164794e-05,0.1000000000000227,N2,379.0,configs/target_species_lines.csv,target_match
air,5H..01A,bulk,1.0,6.0,378.9,4.130436244164794e-05,0.2299999999999613,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..01A,bulk,2.0,2.0,390.2,0.0001165268768935,0.1815500000000156,N I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..01A,bulk,,2.0,390.2,0.0001165268768935,0.1999999999999886,N2+,390.0,configs/target_species_lines.csv,target_match
air,5H..01A,bulk,1.0,10.0,428.3,2.564489907885229e-05,0.0036000000000058,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..5A,bulk,,1.0,201.0,0.0006107337890288,,Unassigned,,,sub300_unassigned
air,5H..5A,bulk,2.0,6.0,208.8,0.0001216989803948,0.0656999999999925,N II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..5A,bulk,,3.0,214.6,0.0001672504586384,,Unassigned,,,sub300_unassigned
air,5H..5A,bulk,,9.0,222.1,0.0001116500870443,,Unassigned,,,sub300_unassigned
air,5H..5A,bulk,1.0,4.0,231.2,0.0001300813506173,0.1077000000000225,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
