peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined
1,diameter,0.5mm,Tip,1,390.0,390.2894736842105,390.3,4.53e-05,4.577763157894737e-05
2,diameter,0.5mm,Tip,1,334.0,334.28195488721803,334.3,4.05e-05,4.102866541353384e-05
3,diameter,0.5mm,Tip,1,314.0,314.32142857142856,314.3,2.71e-05,2.8112500000000002e-05
4,diameter,0.5mm,Tip,1,355.0,355.3125,355.3,1.58e-05,1.6112500000000002e-05
5,diameter,0.5mm,Tip,1,427.0,427.3985148514852,427.4,5.3e-06,5.620804455445545e-06
6,diameter,0.5mm,Tip,1,329.0,329.0549048316252,329.1,1.21e-06,1.2120589311859445e-06
7,diameter,0.5mm,Tip,1,310.0,309.8950892857143,309.9,1.06e-06,1.0649308035714285e-06
8,diameter,0.5mm,Tip,1,384.0,384.1783088235294,384.2,8.13e-07,8.216479779411765e-07
9,diameter,0.5mm,Tip,1,260.0,259.96153846153845,260.0,5.23e-07,5.230096153846154e-07
10,diameter,0.5mm,Tip,1,350.0,350.0614973262032,350.1,4.92e-07,4.930608288770054e-07
1,diameter,1mm,0.5 cm below,1,335.0,335.26630434782606,335.3,2.94e-05,3.0052445652173912e-05
2,diameter,1mm,0.5 cm below,1,391.0,391.2959183673469,391.3,1.12e-05,1.1285816326530612e-05
3,diameter,1mm,0.5 cm below,1,356.0,356.43954050785976,356.4,1.1e-05,1.1798864873035066e-05
4,diameter,1mm,0.5 cm below,1,380.0,380.11423220973785,380.1,6.91e-06,6.927420411985018e-06
5,diameter,1mm,0.5 cm below,1,314.0,314.20344827586206,314.2,3.61e-06,3.6700172413793104e-06
6,diameter,1mm,0.5 cm below,1,340.0,339.6334106728538,339.6,1.72e-06,1.8358422273781903e-06
7,diameter,1mm,0.5 cm below,1,404.0,404.3838174273859,404.4,1.61e-06,1.6987577800829875e-06
8,diameter,1mm,0.5 cm below,1,352.0,352.0364583333333,352.0,5.34e-07,5.343828125e-07
9,diameter,1mm,0.5 cm below,1,260.0,259.96153846153845,260.0,5.23e-07,5.230096153846154e-07
10,diameter,1mm,0.5 cm below,1,310.0,309.75555555555553,309.8,2.62e-07,2.6737777777777777e-07
1,diameter,1mm,Base,1,336.0,335.8541666666667,335.9,0.000174,0.00017451041666666667
2,diameter,1mm,Base,1,356.0,355.8215434083601,355.8,6.96e-05,7.009521704180064e-05
3,diameter,1mm,Base,1,390.0,390.4382716049383,390.4,5.28e-05,5.435586419753087e-05
4,diameter,1mm,Base,1,313.0,313.2911392405063,313.3,5.12e-05,5.186962025316455e-05
5,diameter,1mm,Base,1,379.0,379.0739130434783,379.1,6.58e-06,6.589423913043478e-06
6,diameter,1mm,Base,1,308.0,307.98646723646726,308.0,1.42e-06,1.4201285612535611e-06
7,diameter,1mm,Base,1,350.0,350.09574468085106,350.1,1.22e-06,1.2268936170212765e-06
8,diameter,1mm,Base,1,329.0,329.05128205128204,329.1,1.05e-06,1.0515384615384615e-06
9,diameter,1mm,Base,1,384.0,383.8466386554622,383.8,9.59e-07,9.645976890756303e-07
10,diameter,1mm,Base,1,321.0,320.99824435040966,321.0,6.33e-07,6.330017117583506e-07
1,diameter,1mm,Middle,1,336.0,335.54,335.5,0.000412,0.00041993499999999997
2,diameter,1mm,Middle,1,390.0,390.37719298245617,390.4,0.000272,0.0002760548245614035
3,diameter,1mm,Middle,1,356.0,355.87735849056605,355.9,0.000252,0.0002523985849056604
4,diameter,1mm,Middle,1,314.0,314.3909090909091,314.4,0.000231,0.00023520227272727273
5,diameter,1mm,Middle,1,379.0,378.8898305084746,378.9,7.89e-05,7.893580508474575e-05
6,diameter,1mm,Middle,1,429.0,428.507299270073,428.5,6.89e-05,7.22257299270073e-05
7,diameter,1mm,Middle,1,400.0,400.02284263959393,400.0,1.12e-05,1.1201027918781726e-05
8,diameter,1mm,Middle,1,406.0,406.2645502645503,406.3,9.62e-06,9.884550264550263e-06
9,diameter,1mm,Middle,1,329.0,329.07169459962756,329.1,4.59e-06,4.603801210428305e-06
10,diameter,1mm,Middle,1,423.0,423.0549180327869,423.1,1.09e-06,1.0918397540983605e-06
1,diameter,1mm,Tip,1,336.0,335.8213367609255,335.8,0.000104,0.00010462085475578405
2,diameter,1mm,Tip,1,391.0,390.6140350877193,390.6,3.51e-05,3.5949122807017543e-05
3,diameter,1mm,Tip,1,356.0,356.31516587677726,356.3,3.49e-05,3.594792654028436e-05
4,diameter,1mm,Tip,1,314.0,314.20542635658916,314.2,3.12e-05,3.174437984496124e-05
5,diameter,1mm,Tip,1,379.0,379.3660084626234,379.4,1.01e-05,1.0574895980253878e-05
6,diameter,1mm,Tip,1,310.0,309.90167753960856,309.9,1.25e-06,1.2551865097856478e-06
7,diameter,1mm,Tip,1,260.0,259.96153846153845,260.0,5.23e-07,5.230096153846154e-07
8,diameter,1mm,Tip,1,375.0,375.0187319884726,375.0,3.25e-07,3.2506087896253604e-07
9,diameter,1mm,Tip,1,306.0,305.8279569892473,305.8,2.45e-07,2.47752688172043e-07
10,diameter,1mm,Tip,1,398.0,397.566852367688,397.6,1.86e-07,2.0283861420612812e-07
