dataset,sample_id,param_set,trial,channel,wavelength_nm,irradiance_W_m2_nm
air,air__100H.1__bulk,100H,1,bulk,292.0,2.0238e-07
air,air__100H.1__bulk,100H,1,bulk,293.0,2.00102e-07
air,air__100H.1__bulk,100H,1,bulk,294.0,1.97835e-07
air,air__100H.1__bulk,100H,1,bulk,295.0,1.9569e-07
air,air__100H.1__bulk,100H,1,bulk,296.0,1.90956e-07
air,air__100H.1__bulk,100H,1,bulk,297.0,1.86149e-07
air,air__100H.1__bulk,100H,1,bulk,298.0,1.81153e-07
air,air__100H.1__bulk,100H,1,bulk,299.0,1.77642e-07
air,air__100H.1__bulk,100H,1,bulk,300.0,1.75517e-07
air,air__100H.1__bulk,100H,1,bulk,301.0,1.67157e-07
air,air__100H.1__bulk,100H,1,bulk,302.0,1.56094e-07
air,air__100H.1__bulk,100H,1,bulk,303.0,1.65267e-07
air,air__100H.1__bulk,100H,1,bulk,304.0,1.80496e-07
air,air__100H.1__bulk,100H,1,bulk,305.0,1.19461e-07
air,air__100H.1__bulk,100H,1,bulk,306.0,5.75575e-08
air,air__100H.1__bulk,100H,1,bulk,307.0,2.87824e-07
air,air__100H.1__bulk,100H,1,bulk,308.0,4.51046e-07
air,air__100H.1__bulk,100H,1,bulk,309.0,2.21581e-07
air,air__100H.1__bulk,100H,1,bulk,310.0,1.63686e-06
air,air__100H.1__bulk,100H,1,bulk,311.0,2.97995e-06
air,air__100H.1__bulk,100H,1,bulk,312.0,7.61566e-06
air,air__100H.1__bulk,100H,1,bulk,313.0,5.3911e-06
air,air__100H.1__bulk,100H,1,bulk,314.0,2.6785e-06
air,air__100H.1__bulk,100H,1,bulk,315.0,1.15347e-05
air,air__100H.1__bulk,100H,1,bulk,316.0,2.11641e-05
air,air__100H.1__bulk,100H,1,bulk,317.0,1.42938e-05
air,air__100H.1__bulk,100H,1,bulk,318.0,9.99802e-07
air,air__100H.1__bulk,100H,1,bulk,319.0,5.26039e-07
air,air__100H.1__bulk,100H,1,bulk,320.0,7.3579e-08
air,air__100H.1__bulk,100H,1,bulk,321.0,7.43389e-07
