peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
10,air,100H,bulk,3,350.0,350.3378526478017,350.3,6.578343333333334e-07,6.889411586305065e-07,3,0.304300000000012,349.9957,349.9957,349.996731,,,,Ar II,Ar,II,Ar II,,,live_nist
1,air,5H..01A,bulk,3,335.0,335.3929740791269,335.4,0.00016049966666666668,0.00016238626972487496,1,0.05550980000003847,335.4555098,,335.4555098,1453700.0,AAA,,He I,He,I,He I,,1453700.0,live_nist
1,air,5H..01A,bulk,3,335.0,335.3929740791269,335.4,0.00016049966666666668,0.00016238626972487496,2,0.26900000000000546,335.131,,335.131,,,,O II,O,II,O II,,,live_nist
1,air,5H..01A,bulk,3,335.0,335.3929740791269,335.4,0.00016049966666666668,0.00016238626972487496,3,0.3076199999999858,335.09238,335.09238,335.092386,150000000.0,D,,Ar II,Ar,II,Ar II,,150000000.0,live_nist
2,air,5H..01A,bulk,3,390.0,390.1567974322891,390.2,0.00011623133333333333,0.00011652687689351925,1,0.13749000000001388,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
2,air,5H..01A,bulk,3,390.0,390.1567974322891,390.2,0.00011623133333333333,0.00011652687689351925,2,0.18155000000001564,390.01845,,390.01845,414000.0,C,,N I,N,I,N I,,414000.0,live_nist
2,air,5H..01A,bulk,3,390.0,390.1567974322891,390.2,0.00011623133333333333,0.00011652687689351925,3,0.49500000000000455,390.695,390.695,390.693849,,,,Ar II,Ar,II,Ar II,,,live_nist
3,air,5H..01A,bulk,3,356.0,355.95567054453244,356.0,9.947773333333334e-05,9.948951240847533e-05,1,0.04921000000001641,355.95079,355.95079,355.95078,288000000.0,B,,Ar II,Ar,II,Ar II,,288000000.0,live_nist
3,air,5H..01A,bulk,3,356.0,355.95567054453244,356.0,9.947773333333334e-05,9.948951240847533e-05,2,0.10302999999998974,356.10303,356.10303,356.103016,400000000.0,D,,Ar II,Ar,II,Ar II,,400000000.0,live_nist
3,air,5H..01A,bulk,3,356.0,355.95567054453244,356.0,9.947773333333334e-05,9.948951240847533e-05,3,0.21280000000001564,356.2128,,356.2128,3770.0,E,,O II,O,II,O II,,3770.0,live_nist
