,PC1,PC2,PC3,PC4,PC5
total_irradiance,1.3756570282471211e-05,0.0001164841188337697,0.00024408709291007065,-0.00018316380542030667,0.000523507034217191
centroid_nm,0.2973550373573361,0.8971808248788605,-0.21245789082563618,0.24744794926521196,-0.009947452902695712
peak_wavelength_nm,0.952903035597231,-0.2954467055963228,0.06609036973056256,-0.016817452769711336,0.005801776452278838
peak_irradiance,6.408807927723771e-07,6.053870271944133e-06,1.4127245413668625e-05,-3.0763280149709275e-06,-0.00014287838935163856
UVC_integral,0.0,2.117582368135751e-22,-0.0,1.3877787807814457e-17,0.0
UVC_frac,-0.0020868186636261287,-0.0064716203233058135,0.006186407305889659,0.0010841470481602956,0.12699978306440618
UVB_integral,2.0577670444243596e-06,1.4647350496767591e-05,-1.5300633609688058e-06,-4.109710680163027e-05,0.00028509799235729605
UVB_frac,0.00046934206337686575,0.0015552392575736516,-0.012994322080429695,-0.02018740875747241,0.036286278210059995
UVA_integral,1.074156607434637e-05,9.55278002283932e-05,0.0002338289980521609,-0.00015982570322227538,-2.496339660103845e-05
UVA_frac,0.0014569237519415357,0.004161966078497632,0.006499310093430998,0.016879307566990753,-0.2449509223236768
uva_uvb_ratio,-0.04713635368098708,-0.06386358052803896,0.5861181883082122,0.7972538496634639,0.1166833146354445
uvb_uvc_ratio,0.0068545509625084705,0.04879124229239585,-0.005096736927565685,-0.13689703785793278,0.9496792764837506
uva_uvc_ratio,0.035780829648943864,0.3182090882328323,0.7788990439922152,-0.5323894319448075,-0.08315463825838361
