,explained_variance,explained_variance_ratio
PC1,4413.79352568404,0.9319401068733688
PC2,308.41962819945485,0.0651205407759756
PC3,12.905165967542771,0.0027248310735483437
PC4,0.9667244626548417,0.00020411677478819745
PC5,0.049228519873301624,1.0394240646957403e-05
