peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
10,diameter,0.5mm,Base,1,374.0,373.75850340136054,373.8,2.09e-06,2.1328656462585035e-06,2,0.03370000000001028,373.8337,,373.8337,167000.0,D,,O II,O,II,O II,,167000.0,live_nist
10,diameter,0.5mm,Base,1,374.0,373.75850340136054,373.8,2.09e-06,2.1328656462585035e-06,3,0.04599999999999227,373.846,,373.846,2150000.0,D,,O II,O,II,O II,,2150000.0,live_nist
1,diameter,0.5mm,Middle,1,390.0,390.40625,390.4,0.000194,0.000196640625,1,0.2950000000000159,390.695,390.695,390.693849,,,,Ar II,Ar,II,Ar II,,,live_nist
1,diameter,0.5mm,Middle,1,390.0,390.40625,390.4,0.000194,0.000196640625,2,0.3374900000000025,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
1,diameter,0.5mm,Middle,1,390.0,390.40625,390.4,0.000194,0.000196640625,3,0.34550000000001546,390.7455,390.7455,390.74549,8640000.0,C,,O II,O,II,O II,,8640000.0,live_nist
2,diameter,0.5mm,Middle,1,336.0,335.6818181818182,335.7,0.000184,0.00018567045454545456,1,0.2444901999999729,335.4555098,,335.4555098,1453700.0,AAA,,He I,He,I,He I,,1453700.0,live_nist
2,diameter,0.5mm,Middle,1,336.0,335.6818181818182,335.7,0.000184,0.00018567045454545456,2,0.31049999999999045,336.0105,336.0105,336.0083,,,,O II,O,II,O II,,,live_nist
2,diameter,0.5mm,Middle,1,336.0,335.6818181818182,335.7,0.000184,0.00018567045454545456,3,0.32789999999999964,336.0279,336.0279,336.0281,,,,O II,O,II,O II,,,live_nist
3,diameter,0.5mm,Middle,1,314.0,314.01428571428573,314.0,0.000136,0.00013600357142857142,1,0.031999999999982265,313.968,313.968,313.9678,76400000.0,C,,O II,O,II,O II,,76400000.0,live_nist
3,diameter,0.5mm,Middle,1,314.0,314.01428571428573,314.0,0.000136,0.00013600357142857142,2,0.0736400000000117,313.92636,313.92636,313.926372,,,,Ar II,Ar,II,Ar II,,,live_nist
