species,air_mean_relative_concentration,diameter_mean_relative_concentration,air_minus_diameter,abs_delta
N2+,0.16077136100285735,0.25523409717838674,-0.09446273617552939,0.09446273617552939
OH,0.08288961906540909,0.006078607126818288,0.0768110119385908,0.0768110119385908
N2,0.7934433963411159,0.7385321895111115,0.05491120683000439,0.05491120683000439
O I,0.032926975833582,0.0,0.032926975833582,0.032926975833582
O II,0.02153913306908892,0.006621478769710572,0.014917654299378347,0.014917654299378347
