PC1,PC2,PC3,PC4,PC5,sample_id,dataset,param_set,trial,channel,normalize
15.987951255093915,-1.2101663072824045,-2.228276947314611,0.8402369792361853,-0.2691946906184151,air__100H.cont.trial__bulk,air,100H.cont.trial,,bulk,none
17.376369764477513,-0.23618208947569852,-3.0011913056715134,1.2008887428410855,-0.3107181352596225,air__1H.1A-CONT__bulk,air,1H.1A-CONT,,bulk,none
-123.28433802940846,1.950637886252781,-3.541680945306085,-2.8810732532181724,-0.0976189148704277,air__1H.9A__bulk,air,1H.9A,,bulk,none
18.551061583610625,7.069442128522506,-5.189412687057847,0.022948650437676372,0.49693613972091133,diameter__0.5mm__base,diameter,0.5mm,,Base,none
76.82182734808518,10.303875214022735,-0.2801223252409709,0.6132760990661007,0.28826765245086716,diameter__0.5mm__middle,diameter,0.5mm,,Middle,none
65.15941817981641,-27.89181341698964,2.8065912469914287,-2.304902488202766,0.12748123016783894,diameter__0.5mm__tip,diameter,0.5mm,,Tip,none
-126.5607176394564,-5.0662039856802705,4.534257398303776,2.1899414488824864,0.26028065262848304,diameter__1mm__0_5_cm_below,diameter,1mm,,0.5 cm below,none
17.081220288024397,-0.8216932767992176,-0.7246939533471903,0.8694890253080908,-0.25160400090273893,diameter__1mm__base,diameter,1mm,,Base,none
25.115216160756884,27.528174649352454,5.934885358164388,-1.4926462101230877,-0.12410608893978364,diameter__1mm__middle,diameter,1mm,,Middle,none
13.751991089000121,-11.626070801922582,1.6896441604784973,0.9418410057726071,-0.11972384437713014,diameter__1mm__tip,diameter,1mm,,Tip,none
