PC1,PC2,PC3,PC4,PC5,sample_id,dataset,param_set,trial,channel,normalize
43.51289506633808,-13.03489811362782,19.70189326796804,-3.1241292063537207,0.056148946196192186,air__100H.1__bulk,air,100H,1.0,bulk,none
45.940613012135714,5.890140360371428,-1.2443287748853038,-0.8617762825151009,-0.04507299714090804,air__100H.2__bulk,air,100H,2.0,bulk,none
45.62954714936183,4.8321194520566255,-2.100249438219949,-0.6410811937873852,0.11762897798073293,air__100H.3__bulk,air,100H,3.0,bulk,none
46.14287962176541,6.725126931136997,-1.5435179206216942,-1.7968786843773767,-0.06486504183336382,air__5H..01A.1__bulk,air,5H..01A,1.0,bulk,none
46.830534186889594,9.344196199279697,-0.8409586219758154,-2.0835761112281204,-0.10860765393486374,air__5H..01A.2__bulk,air,5H..01A,2.0,bulk,none
45.258533187448606,-0.6205617812830121,-3.5522645899512364,-2.042204837228725,-0.10909773806002455,air__5H..01A.3__bulk,air,5H..01A,3.0,bulk,none
-99.85848180469739,-23.49306914452883,-6.229827329899501,4.669156022049878,0.16779334097324644,air__5H..5A.1__bulk,air,5H..5A,1.0,bulk,none
-83.99059962518169,5.788856119412539,-0.323986956478374,-1.0694218892384328,-0.11388798398324813,air__5H..5A.2__bulk,air,5H..5A,2.0,bulk,none
-69.43983638209139,10.403092641736182,-0.5176145535333988,-2.2874063844144232,-0.16208617765795233,air__5H..5A.3__bulk,air,5H..5A,3.0,bulk,none
-78.18830843591137,4.362769830278429,-0.9496757496896095,-1.0300592872888013,-0.11666345851413311,air__5H..5A.4__bulk,air,5H..5A,4.0,bulk,none
-90.49902913225836,4.492666949281946,-0.15868192435621611,-0.3657262351973244,-0.06355037337091145,air__5H..9A.1__bulk,air,5H..9A,1.0,bulk,none
47.470697335877595,12.102341501736273,-0.9118729600751729,0.33490894936034776,0.48425451835697864,air__5H..9A.2__bulk,air,5H..9A,2.0,bulk,none
-92.32217003040965,5.627568141168857,-0.8908338338476339,-0.4477826106257063,-0.03455894817507392,air__5H..9A.3__bulk,air,5H..9A,3.0,bulk,none
-84.56827281686701,11.655081587398845,0.25559853501648705,-1.724606518481895,-0.10359404811293263,air__5H..9A.4__bulk,air,5H..9A,4.0,bulk,none
44.873140865443155,2.2292344859182034,-4.2965165572563855,-1.06375692544993,0.5873738626763446,diameter__0.5mm__base,diameter,0.5mm,,Base,none
103.05266469007385,7.55498010138899,-1.095751901098309,1.5462614105084431,0.1953023179983392,diameter__0.5mm__middle,diameter,0.5mm,,Middle,none
93.3110709339385,-31.153298747008243,-5.324098135117294,0.24956797890003307,-0.2544579240373092,diameter__0.5mm__tip,diameter,0.5mm,,Tip,none
-99.08323181070533,-19.1227589979776,6.322245211637185,2.377155702673361,0.3435468919476058,diameter__1mm__0_5_cm_below,diameter,1mm,,0.5 cm below,none
43.93162640693817,-6.401364443923017,-1.3458564821273342,-0.15663826960283803,-0.26839885533391794,diameter__1mm__base,diameter,1mm,,Base,none
50.792849700475124,20.43981744070473,5.841949293678199,9.793713897055385,-0.27227045533884187,diameter__1mm__middle,diameter,1mm,,Middle,none
41.20287788143664,-17.622040513521487,-0.7956505791667579,-0.2757195247576118,-0.2349372006359543,diameter__1mm__tip,diameter,1mm,,Tip,none
