Name,Current Measurement,Current Measurement,Current Measurement,1H.9A-CONT
Date,1/1/1980,1/1/1980,1/1/1980,1/1/1980
Time,00:32am,00:34am,00:36am,00:36am
Irradiance total,2.08E-03,4.63E-03,2.08E-03,2.08E-03
Irradiance UVA,1.32E-03,1.41E-03,1.21E-03,1.21E-03
Irradiance UVB,2.50E-04,3.97E-04,2.98E-04,2.98E-04
Irradiance UVC,4.85E-04,2.35E-03,4.99E-04,4.99E-04
Irradiance @253.7nm,1.04E-04,5.54E-06,5.52E-06,5.52E-06
Irradiance @365nm,1.36E-05,2.60E-06,3.50E-06,3.50E-06
Irradiance WL range,2.08E-03,4.63E-03,2.08E-03,2.08E-03
Spectral Centroid,322.2,292.2,321.9,321.9
,,,,
wavelength [nm],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)]
,,,,
281,2.3191E-07,2.32386E-07,2.68155E-07,2.68155E-07
282,2.25905E-07,2.2577E-07,1.80593E-07,1.80593E-07
283,2.19624E-07,2.1952E-07,9.71072E-08,9.71072E-08
284,2.13568E-07,2.13604E-07,4.15534E-07,4.15534E-07
285,2.07983E-07,2.08E-07,6.17459E-07,6.17459E-07
286,2.07822E-07,2.07824E-07,3.08453E-07,3.08453E-07
287,2.07627E-07,2.07642E-07,2.36621E-06,2.36621E-06
288,2.07468E-07,2.07415E-07,4.4203E-06,4.4203E-06
289,2.07289E-07,2.07224E-07,1.17234E-05,1.17234E-05
290,2.06968E-07,2.07203E-07,9.75922E-06,9.75922E-06
291,2.04605E-07,2.04803E-07,1.69587E-06,1.69587E-06
292,2.02807E-07,2.0185E-07,8.38302E-07,8.38302E-07
293,2.00336E-07,1.99813E-07,7.26689E-07,7.26689E-07
294,1.96137E-07,1.9994E-07,6.17555E-07,6.17555E-07
295,1.95228E-07,1.96261E-07,2.25793E-07,2.25793E-07
296,1.97487E-07,1.82857E-07,9.06188E-08,9.06188E-08
297,1.86149E-07,1.86149E-07,1.86149E-07,1.86149E-07
298,1.56764E-07,2.11393E-07,1.88113E-07,1.88113E-07
299,1.84358E-07,1.69314E-07,1.8105E-07,1.8105E-07
300,2.65252E-07,6.4259E-08,2.37914E-07,2.37914E-07
301,1.16989E-07,2.29359E-07,1.29659E-07,1.29659E-07
302,2.89139E-07,5.53235E-07,2.56495E-07,2.56495E-07
303,4.5166E-07,2.68881E-07,3.76236E-07,3.76236E-07
304,2.53527E-06,2.18894E-06,1.03977E-06,1.03977E-06
305,5.64963E-06,4.00728E-06,5.06116E-07,5.06116E-07
306,8.42375E-06,1.41499E-05,2.93534E-06,2.93534E-06
307,8.17508E-06,2.07059E-05,5.27657E-06,5.27657E-06
308,6.42779E-06,1.9093E-05,2.08147E-05,2.08147E-05
309,9.55563E-06,1.10367E-05,2.53093E-05,2.53093E-05
310,1.98414E-05,9.43293E-06,1.78249E-05,1.78249E-05
311,3.47604E-05,3.48428E-05,1.41948E-05,1.41948E-05
312,4.59959E-05,7.16077E-05,2.2618E-05,2.2618E-05
313,4.25367E-05,8.09145E-05,4.30626E-05,4.30626E-05
314,3.16171E-05,6.69872E-05,5.92241E-05,5.92241E-05
315,2.91598E-05,5.66467E-05,4.93892E-05,4.93892E-05
316,3.2738E-05,4.6854E-05,2.50929E-05,2.50929E-05
317,3.23408E-05,2.43688E-05,1.02857E-05,1.02857E-05
318,2.48775E-05,1.54552E-06,4.89474E-06,4.89474E-06
319,1.14452E-05,7.68356E-07,1.28975E-06,1.28975E-06
320,2.15303E-07,2.61342E-08,9.08478E-08,9.08478E-08
321,2.13381E-07,3.67282E-06,2.92355E-06,2.92355E-06
322,2.1151E-07,4.1525E-06,5.30465E-06,5.30465E-06
323,5.65286E-07,1.97314E-06,3.50387E-06,3.50387E-06
324,5.32094E-08,9.74077E-07,7.29976E-07,7.29976E-07
325,4.72535E-08,5.22376E-07,4.46381E-07,4.46381E-07
326,7.31283E-08,8.26416E-08,1.71471E-07,1.71471E-07
327,2.14113E-07,3.13598E-07,3.02001E-07,3.02001E-07
328,3.54375E-07,5.43371E-07,1.50614E-07,1.50614E-07
329,9.14135E-07,1.54471E-06,5.9228E-07,5.9228E-07
330,4.55903E-07,7.70387E-07,1.0317E-06,1.0317E-06
331,3.46015E-06,5.97078E-06,4.70351E-06,4.70351E-06
332,6.37379E-06,1.10143E-05,8.99182E-06,8.99182E-06
333,3.02229E-05,4.52397E-05,2.16018E-05,2.16018E-05
334,6.52936E-05,7.76046E-05,5.74976E-05,5.74976E-05
335,9.77253E-05,9.44857E-05,9.54654E-05,9.54654E-05
336,0.000107985,8.99634E-05,9.04357E-05,9.04357E-05
337,9.17227E-05,6.80701E-05,5.32706E-05,5.32706E-05
338,5.76423E-05,4.10525E-05,3.01627E-05,3.01627E-05
339,2.24849E-05,1.7976E-05,2.38136E-05,2.38136E-05
340,4.23884E-06,4.95681E-06,1.55236E-05,1.55236E-05
341,1.78056E-07,3.17302E-07,5.47162E-06,5.47162E-06
342,1.32971E-07,1.91111E-07,4.28404E-07,4.28404E-07
343,8.70509E-08,6.25835E-08,6.16843E-08,6.16843E-08
344,1.45582E-07,7.98954E-07,1.39881E-06,1.39881E-06
345,9.29877E-08,4.03246E-07,1.85635E-06,1.85635E-06
346,9.56039E-08,7.6151E-07,2.87363E-07,2.87363E-07
347,8.91184E-08,1.11911E-06,3.61924E-07,3.61924E-07
348,4.02454E-08,1.19953E-05,4.15915E-06,4.15915E-06
349,1.37762E-07,1.66763E-05,6.77992E-06,6.77992E-06
350,3.09082E-07,7.86892E-06,6.47446E-06,6.47446E-06
351,1.3925E-06,3.93918E-06,1.06555E-05,1.06555E-05
352,2.47852E-06,1.03528E-05,2.08194E-05,2.08194E-05
353,1.86994E-05,1.67818E-05,2.6515E-05,2.6515E-05
354,4.36421E-05,4.59642E-05,2.60703E-05,2.60703E-05
355,5.081E-05,6.2393E-05,3.11316E-05,3.11316E-05
