Name,Current Measurement,Current Measurement,Current Measurement,Current Measurement
Date,1/1/1980,1/1/1980,1/1/1980,1/1/1980
Time,00:44am,00:46am,00:48am,00:50am
282,2.5304E-07,4.57888E-06,2.38356E-07,1.79897E-07
283,2.89138E-07,1.91414E-05,2.5276E-07,9.52205E-08
284,1.00965E-07,1.8082E-05,1.59219E-07,4.18646E-07
285,3.99284E-07,3.36084E-06,9.79062E-08,6.23769E-07
286,6.99626E-07,3.54423E-06,4.46008E-07,3.11605E-07
287,9.82077E-07,1.77611E-05,5.82765E-07,2.39753E-06
288,4.906E-07,1.79236E-05,2.91122E-07,4.47973E-06
289,5.41165E-06,3.98924E-06,2.88597E-06,1.17935E-05
290,1.03239E-05,1.99284E-06,5.47619E-06,9.50758E-06
291,2.39402E-05,1.50206E-06,1.73104E-05,1.48475E-06
292,1.69184E-05,1.02244E-06,2.86915E-05,1.68946E-06
293,1.546E-06,3.36978E-07,3.10916E-05,1.88956E-06
294,2.23192E-06,2.39488E-07,1.77714E-05,6.59808E-07
295,1.62613E-05,1.44139E-07,1.10783E-06,3.20307E-06
296,3.01152E-05,9.52246E-07,6.35471E-07,5.60967E-06
297,3.16453E-05,1.86149E-06,1.86168E-07,1.1169E-05
298,1.55509E-05,2.12333E-06,2.9612E-06,9.75114E-06
299,7.59452E-06,1.03696E-06,3.52218E-06,4.95388E-06
300,3.97751E-06,1.69271E-06,2.1695E-06,1.40879E-06
301,5.17386E-07,2.30176E-06,1.05261E-06,1.25454E-07
302,6.35202E-07,1.93789E-05,1.39334E-06,4.83589E-07
303,1.94756E-07,2.44669E-05,1.715E-06,2.35032E-07
304,6.88456E-07,9.5988E-06,1.11985E-05,1.42031E-06
305,3.3511E-07,4.92938E-06,2.12719E-05,2.5428E-06
306,2.28558E-06,5.04736E-07,3.12083E-05,1.41086E-05
307,4.1654E-06,3.33298E-06,4.67671E-05,2.70485E-05
308,1.8432E-05,1.30352E-06,6.16304E-05,4.10569E-05
309,3.0797E-05,1.26251E-07,5.58801E-05,6.27676E-05
310,4.38468E-05,1.10215E-05,4.10688E-05,8.95852E-05
311,7.08705E-05,4.78057E-05,5.58798E-05,0.000109546
312,0.000109794,9.88537E-05,9.1998E-05,0.000122794
313,0.000146078,0.000135609,0.000108075,0.000135904
314,0.000164827,0.000149678,0.000102623,0.000141769
315,0.000153927,0.000145089,9.61362E-05,0.000127374
316,0.000122397,0.000124727,8.77982E-05,9.89302E-05
317,8.84249E-05,9.32744E-05,6.92106E-05,7.12937E-05
318,5.81437E-05,6.52371E-05,4.61903E-05,5.0263E-05
319,3.2988E-05,5.33257E-05,2.814E-05,3.67873E-05
320,1.4311E-05,4.3555E-05,1.53305E-05,2.511E-05
321,3.25308E-06,2.19486E-05,5.85128E-06,1.06003E-05
322,1.55294E-07,3.55419E-06,2.88763E-06,5.23128E-06
323,3.60295E-06,2.57513E-06,1.82867E-06,2.75855E-06
324,6.187E-06,6.36869E-06,7.96519E-07,3.48431E-07
325,3.23434E-06,3.68961E-06,6.24071E-06,6.82712E-07
326,1.61301E-06,1.84006E-06,7.72556E-06,3.40477E-07
327,1.32482E-06,5.58276E-06,2.9018E-06,5.12683E-07
328,1.03811E-06,9.3063E-06,2.09778E-06,6.84007E-07
329,2.68219E-06,2.27339E-05,1.29787E-06,1.86964E-06
330,1.63389E-06,1.78176E-05,2.52957E-06,9.32437E-07
331,5.83346E-07,6.24957E-06,3.70693E-06,1.45623E-05
332,6.2539E-05,4.29412E-05,4.32931E-05,2.77811E-05
333,0.000175549,0.000128912,0.00011176,8.86016E-05
334,0.000277955,0.000210338,0.000166595,0.000148719
335,0.000332147,0.000255168,0.000191001,0.000183824
336,0.000327229,0.000255119,0.000191888,0.000179652
337,0.00027364,0.000218824,0.000171004,0.000144098
338,0.000201489,0.000169779,0.000131053,0.000102136
339,0.000129995,0.000118239,8.27394E-05,6.4683E-05
340,7.12731E-05,6.78958E-05,4.03741E-05,3.46714E-05
341,3.15799E-05,2.88444E-05,1.36436E-05,1.44346E-05
342,1.15358E-05,9.47876E-06,6.62497E-06,4.49807E-06
343,5.62897E-06,3.80769E-06,8.3579E-06,1.87461E-06
344,5.87149E-06,1.56856E-06,5.44599E-06,2.25248E-06
345,6.59467E-06,2.41685E-08,7.89415E-07,2.83657E-06
346,4.03493E-06,2.55883E-07,4.25319E-07,1.8391E-06
347,2.01559E-06,4.87168E-07,6.18979E-08,9.18698E-07
348,2.8453E-06,4.53271E-06,9.7182E-07,1.0772E-06
349,3.67347E-06,6.64556E-06,1.88006E-06,1.23542E-06
350,2.21178E-05,6.90235E-06,9.63788E-06,1.03701E-05
351,3.88969E-05,1.70127E-05,2.19861E-05,2.43299E-05
352,5.28323E-05,4.23799E-05,3.89696E-05,4.1374E-05
353,8.62707E-05,7.50562E-05,6.29659E-05,6.02333E-05
354,0.000142925,0.000108558,9.17407E-05,8.13954E-05
355,0.000197465,0.000139992,0.000116402,0.000107221
356,0.000222106,0.000158556,0.000128634,0.000125835
357,0.000193533,0.000147228,0.00012309,0.000112434
358,0.00013039,0.000109562,0.000100758,7.34365E-05
359,8.52649E-05,6.73456E-05,6.86476E-05,4.2075E-05
360,6.23392E-05,3.30773E-05,3.66908E-05,2.75909E-05
361,3.31867E-05,1.14221E-05,1.55076E-05,2.1281E-05
362,4.01116E-06,1.81626E-06,5.73246E-06,1.67238E-05
363,1.97867E-06,9.66398E-07,1.62882E-06,9.37025E-06
364,1.58895E-06,1.39046E-07,1.74458E-07,1.63721E-06
365,1.20943E-06,6.86145E-08,1.16784E-07,8.07909E-07
366,1.13299E-07,3.38285E-06,6.00929E-08,2.93713E-06
367,4.73454E-07,6.5599E-06,8.85138E-07,4.97823E-06
368,8.02558E-07,1.15655E-05,2.54464E-06,8.25365E-06
369,6.0852E-07,8.47279E-06,5.18146E-06,6.06778E-06
370,4.22045E-07,3.58533E-06,8.29439E-06,2.95782E-06
371,6.99299E-06,5.05823E-06,1.1983E-05,4.09935E-06
372,2.09092E-05,1.93412E-05,1.83426E-05,1.21351E-05
373,3.73956E-05,4.24718E-05,2.65421E-05,2.47476E-05
374,3.91759E-05,4.96454E-05,2.90792E-05,3.02533E-05
375,2.59099E-05,3.6014E-05,2.56287E-05,2.50034E-05
376,2.71437E-05,3.31336E-05,2.86879E-05,2.02096E-05
