air_input_level,species,auc_raw,auc_normalized
none,N2,0.00011489270666666668,0.08197609317817343
none,N2+,0.00016868915,0.12035992431327124
none,OH,4.6354435e-05,0.033073948669398424
medium,N2,0.0002037291,0.0995220340993393
medium,N2+,0.00014487145000000002,0.07076996554208864
medium,OH,0.0,0.0
high,N2,0.0003914297500000001,0.039671359415370144
high,N2+,0.00013843675,0.014030548433137089
high,OH,0.0,0.0
