dataset,param_set,channel,species,peak_assignments,concentration_score,mean_delta_nm,group_total_signal,relative_concentration,group_label
air,100H.cont.trial,bulk,N2,4,0.00013765290474839655,0.45000000000000284,0.00019522076172495808,0.7051140643654105,air | 100H.cont.trial | bulk
air,100H.cont.trial,bulk,N2+,2,4.1386082403520774e-05,0.75,0.00019522076172495808,0.21199631656918053,air | 100H.cont.trial | bulk
air,100H.cont.trial,bulk,OH,1,1.618177457304077e-05,0.5,0.00019522076172495808,0.08288961906540909,air | 100H.cont.trial | bulk
air,1H.1A-CONT,bulk,N2,4,0.0001444927968152931,1.0500000000000114,0.00018027483910139453,0.8015139413549773,air | 1H.1A-CONT | bulk
air,1H.1A-CONT,bulk,N2+,1,3.578204228610143e-05,0.5,0.00018027483910139453,0.19848605864502272,air | 1H.1A-CONT | bulk
air,1H.9A,bulk,N2,5,0.000628294931882948,0.37999999999999545,0.0007191179602043914,0.8737021833029602,air | 1H.9A | bulk
air,1H.9A,bulk,N2+,1,5.1655471187084405e-05,0.3000000000000113,0.0007191179602043914,0.07183170779436884,air | 1H.9A | bulk
air,1H.9A,bulk,O I,1,2.3678379697144778e-05,0.3999999999999772,0.0007191179602043914,0.032926975833582,air | 1H.9A | bulk
air,1H.9A,bulk,O II,1,1.5489177437214177e-05,1.6000000000000227,0.0007191179602043914,0.02153913306908892,air | 1H.9A | bulk
