peak_rank,dataset,param_set,channel,sample_id,trial,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined
9,diameter,0.5mm,Middle,diameter__0.5mm__middle,,398.0,398.44459833795014,398.4,1.2e-05,1.2713580332409972e-05
10,diameter,0.5mm,Middle,diameter__0.5mm__middle,,373.0,373.32608695652175,373.3,9.78e-06,9.792228260869565e-06
1,diameter,0.5mm,Tip,diameter__0.5mm__tip,,390.0,390.2894736842105,390.3,4.53e-05,4.577763157894737e-05
2,diameter,0.5mm,Tip,diameter__0.5mm__tip,,334.0,334.28195488721803,334.3,4.05e-05,4.102866541353384e-05
3,diameter,0.5mm,Tip,diameter__0.5mm__tip,,314.0,314.32142857142856,314.3,2.71e-05,2.8112500000000002e-05
4,diameter,0.5mm,Tip,diameter__0.5mm__tip,,355.0,355.3125,355.3,1.58e-05,1.6112500000000002e-05
5,diameter,0.5mm,Tip,diameter__0.5mm__tip,,427.0,427.3985148514852,427.4,5.3e-06,5.620804455445545e-06
6,diameter,0.5mm,Tip,diameter__0.5mm__tip,,329.0,329.0549048316252,329.1,1.21e-06,1.2120589311859445e-06
7,diameter,0.5mm,Tip,diameter__0.5mm__tip,,310.0,309.8950892857143,309.9,1.06e-06,1.0649308035714285e-06
8,diameter,0.5mm,Tip,diameter__0.5mm__tip,,384.0,384.1783088235294,384.2,8.13e-07,8.216479779411765e-07
9,diameter,0.5mm,Tip,diameter__0.5mm__tip,,260.0,259.96153846153845,260.0,5.23e-07,5.230096153846154e-07
10,diameter,0.5mm,Tip,diameter__0.5mm__tip,,350.0,350.0614973262032,350.1,4.92e-07,4.930608288770054e-07
1,diameter,1mm,0.5 cm below,diameter__1mm__0_5_cm_below,,335.0,335.26630434782606,335.3,2.94e-05,3.0052445652173912e-05
2,diameter,1mm,0.5 cm below,diameter__1mm__0_5_cm_below,,391.0,391.2959183673469,391.3,1.12e-05,1.1285816326530612e-05
3,diameter,1mm,0.5 cm below,diameter__1mm__0_5_cm_below,,356.0,356.43954050785976,356.4,1.1e-05,1.1798864873035066e-05
4,diameter,1mm,0.5 cm below,diameter__1mm__0_5_cm_below,,380.0,380.11423220973785,380.1,6.91e-06,6.927420411985018e-06
5,diameter,1mm,0.5 cm below,diameter__1mm__0_5_cm_below,,314.0,314.20344827586206,314.2,3.61e-06,3.6700172413793104e-06
6,diameter,1mm,0.5 cm below,diameter__1mm__0_5_cm_below,,340.0,339.6334106728538,339.6,1.72e-06,1.8358422273781903e-06
