dataset,param_set,channel,candidate_rank,peak_rank,peak_wavelength_nm_0p1,peak_intensity_refined,delta_nm,trace_species,target_wavelength_nm,source_url,status
diameter,0.5mm,Base,3.0,7.0,379.1,1.252522463768116e-05,0.3360999999999876,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Base,2.0,2.0,390.3,9.45808988764045e-05,0.2815500000000384,N I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Base,,2.0,390.3,9.45808988764045e-05,0.3000000000000113,N2+,390.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Base,1.0,6.0,427.7,1.999429611650485e-05,0.0251999999999839,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Base,3.0,9.0,464.1,2.6386011904761904e-06,0.20799999999997,N II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Base,1.0,9.0,464.1,2.6386011904761904e-06,0.0810399999999731,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Middle,3.0,7.0,306.1,2.1228125e-05,0.1707000000000107,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Middle,,7.0,306.1,2.1228125e-05,1.8999999999999773,OH,308.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Middle,,3.0,314.0,0.0001360035714285,1.0,N2,315.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Middle,1.0,3.0,314.0,0.0001360035714285,0.0319999999999822,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Middle,1.0,2.0,335.7,0.0001856704545454,0.2444901999999729,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Middle,,2.0,335.7,0.0001856704545454,0.3000000000000113,N2,336.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Middle,2.0,2.0,335.7,0.0001856704545454,0.3104999999999904,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Middle,2.0,4.0,355.6,0.00010236125,0.1459346000000323,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Middle,,4.0,355.6,0.00010236125,0.3999999999999772,N2,356.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Middle,1.0,10.0,373.3,9.792228260869564e-06,0.0011837000000127,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Middle,,10.0,373.3,9.792228260869564e-06,0.6999999999999886,N2,374.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Middle,,10.0,373.3,9.792228260869564e-06,1.3000000000000114,O II,372.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Middle,,6.0,379.4,4.5785326086956526e-05,0.3999999999999772,N2,379.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Middle,2.0,6.0,379.4,4.5785326086956526e-05,0.0361000000000331,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Middle,,1.0,390.4,0.000196640625,0.3999999999999772,N2+,390.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Middle,3.0,1.0,390.4,0.000196640625,0.3455000000000154,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Middle,1.0,9.0,398.4,1.2713580332409972e-05,0.1285999999999489,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Middle,1.0,5.0,428.2,5.527456896551724e-05,0.0020999999999844,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Tip,,9.0,260.0,5.230096153846154e-07,,Unassigned,,,sub300_unassigned
diameter,0.5mm,Tip,2.0,7.0,309.9,1.0649308035714283e-06,0.1522999999999683,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Tip,,7.0,309.9,1.0649308035714283e-06,1.8999999999999773,OH,308.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Tip,,3.0,314.3,2.81125e-05,0.6999999999999886,N2,315.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Tip,,6.0,329.1,1.2120589311859445e-06,1.1000000000000227,N2+,328.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Tip,2.0,6.0,329.1,1.2120589311859445e-06,0.1019000000000005,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Tip,,2.0,334.3,4.102866541353384e-05,1.6999999999999886,N2,336.0,configs/target_species_lines.csv,target_match
