PC1,PC2,PC3,sample_id,dataset,param_set,trial,channel
-7.410807859969637,-17.265942318561663,-3.934212643877356e-15,diameter__avg__base,diameter,averaged_1.0mm0.5mm_tipmiddlebase,,base
23.27930935944218,3.7302226439686046,-3.934212643877344e-15,diameter__avg__middle,diameter,averaged_1.0mm0.5mm_tipmiddlebase,,middle
-15.868501499472526,13.535719674593118,-3.934212643877341e-15,diameter__avg__tip,diameter,averaged_1.0mm0.5mm_tipmiddlebase,,tip
