dataset,param_set,channel,group_label,estimated_rotational_temperature,rotational_temperature_ci95_low,rotational_temperature_ci95_high,rotational_temperature_bootstrap_ci95_low,rotational_temperature_bootstrap_ci95_high,rotational_temperature_rel_ci95,rotational_fit_mode,rotational_fit_r2,rotational_fit_rmse,rotational_fit_points,rotational_fit_status,rotational_fit_slope_se,rotational_fit_bootstrap_samples,estimated_vibrational_temperature,vibrational_temperature_ci95_low,vibrational_temperature_ci95_high,vibrational_temperature_bootstrap_ci95_low,vibrational_temperature_bootstrap_ci95_high,vibrational_temperature_rel_ci95,vibrational_fit_r2,vibrational_fit_rmse,vibrational_fit_points,vibrational_fit_status,vibrational_fit_slope_se,vibrational_fit_bootstrap_samples,estimated_excitation_temperature,excitation_temperature_ci95_low,excitation_temperature_ci95_high,excitation_temperature_bootstrap_ci95_low,excitation_temperature_bootstrap_ci95_high,excitation_temperature_rel_ci95,excitation_fit_r2,excitation_fit_rmse,excitation_fit_points,excitation_fit_status,excitation_fit_slope_se,excitation_fit_bootstrap_samples,estimated_electron_density,estimated_electron_density_ci95_low,estimated_electron_density_ci95_high,estimated_electron_density_rel_ci95,hbeta_lorentz_fwhm_nm,hbeta_lorentz_fwhm_ci95_low_nm,hbeta_lorentz_fwhm_ci95_high_nm,hbeta_stark_fwhm_nm,hbeta_vdw_fwhm_nm,electron_density_fit_r2,electron_density_status,relative_dissociation_proxy,relative_dissociation_proxy_ar,relative_dissociation_proxy_o2,current_a,ar_to_n2,o2_to_n2,response_ratio_ar,response_ratio_o2,line_area_N_672,line_area_Ar_750,line_area_O_777,line_area_OH_308
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,350.0,350.0,658.8888888888883,,,0.882539682539681,synthetic_band,0.7831882960381532,6.929431156894367e-06,8.0,ok,,0.0,,1336.0712614136837,2690.1971464868793,1336.0712614136837,2690.1971464868793,,0.029540201123717136,2.5443064852167954,4.0,nonphysical_vibrational_slope,7.955085803556699e+19,47.0,7824.826967959425,0.0,19676.086953796068,5377.571576264319,9234.219286475285,2.514571508656279,0.4557353456481449,1.7852849623595075,4.0,ok,7.152793482083934e+18,118.0,58446512548.69021,159329928780.9639,129652367620356.02,2215.5819405597194,0.5,0.0,65.26305000394018,0.4403713647260101,0.05962863527398994,-1.0499418072622948,ok,,,,,,,1.0,1.0,,,,8.029474999999998e-06
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,1176.0,994.5185185185186,1409.3333333333335,,,0.3527336860670195,synthetic_band,0.9379281200590784,3.015734880995819e-06,8.0,ok,,0.0,,31469.200018652642,251853.45589269378,31469.200018652642,251853.45589269378,,0.29403610321832907,1.1895292132106492,4.0,nonphysical_vibrational_slope,3.719208755670683e+19,17.0,,,,,,,,,1.0,insufficient_atomic_lines,,0.0,65365085151.50281,168876931720.25113,129697606454672.86,1981.6195331610397,0.5,0.0,65.24854480768423,0.4744719656508465,0.02552803434915353,-1.0495495707593783,ok,,,,1.0,,,1.0,1.0,,,,0.0
air,1H.9A,bulk,air | 1H.9A | bulk,350.0,350.0,715.555555555555,,,1.0444444444444427,synthetic_band,0.7444633908045992,6.135269194510353e-06,8.0,ok,,0.0,6604.245582113874,0.0,14495.843741055478,4557.313948103508,9538.476431433579,2.194928029374655,0.573603775203704,0.4066507374686152,4.0,ok,6.686197180670174e+18,147.0,,,,,,,,,0.0,insufficient_atomic_lines,,0.0,58446512548.69021,159051015585.47498,129189921213558.61,2207.674411548183,0.5,0.0,65.1080483529184,0.4403713647260101,0.05962863527398994,-0.9802693312521791,ok,,,,9.0,,,1.0,1.0,,,,9.508000000000011e-07
diameter,0.5mm,Base,diameter | 0.5mm | Base,350.0,350.0,750.0,,,1.1428571428571428,synthetic_band,0.83888045893905,7.332770756410112e-06,8.0,ok,,0.0,,692.0777876227235,18091.65887226185,692.0777876227235,18091.65887226185,,0.14024504331848253,3.5460162643801856,5.0,nonphysical_vibrational_slope,5.142809749119661e+19,62.0,15704.029522903329,0.0,72049.89205744836,,,4.587987557739125,0.22982599222192046,1.559143885482499,3.0,ok,8.443071580905322e+18,0.0,58446512548.69021,162466910403.826,134872618698232.05,2304.8449926863445,0.5,0.0,67.00019036559604,0.4403713647260101,0.05962863527398994,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,0.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,407.8888888888889,369.2962962962963,909.5925925925926,,,1.3246163624807046,synthetic_band,0.9094521274265253,1.136728557798034e-05,8.0,ok,,0.0,2282.182150954066,0.0,6537.471982744679,1278.4061261956033,2882.1740320863146,2.8645706391190946,0.3558734904012848,0.9656366470250023,4.0,ok,3.0191812294532366e+19,149.0,,,,,,,,,2.0,insufficient_atomic_lines,,0.0,59656775441.960175,141813637895.17072,98650543631499.28,1651.2580384007317,0.5,0.0,54.40768079625921,0.4464298098133644,0.05357019018663559,-0.15064008280171604,ok,,,,,,,1.0,1.0,,,,0.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,350.0,364.81481481481484,942.5925925925926,,,1.650793650793651,synthetic_band,0.7170550109033578,4.972392075582198e-06,8.0,ok,,0.0,,127414.41212652985,127414.41212677203,127414.41212652985,127414.41212677203,,0.1866754842780015,2.822229932655133,4.0,nonphysical_vibrational_slope,4.640342210218686e+19,21.0,,,,,,,,,2.0,insufficient_atomic_lines,,0.0,58446512548.69021,162466910403.826,134872618698232.05,2304.8449926863445,0.5,0.0,67.00019036559604,0.4403713647260101,0.05962863527398994,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,5.9499999999999706e-09
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,862.530864197531,678.6882716049383,996.2345679012346,,,0.3681564445716739,synthetic_band,0.9668213091498465,5.548742719831249e-07,8.0,ok,,0.0,222.89124483818424,94.83333955503753,350.94915012133094,166.23621100204562,2348.6791666095205,1.1490617801171585,0.7950566037914192,6.567820648712411,5.0,ok,9.525351702968445e+19,267.0,14294.129057927365,0.0,39250.27452180918,10281.180981586394,30706.012302737956,2.745901786862727,0.386558747836911,1.126560753048407,4.0,ok,4.5135967542830515e+18,108.0,64090818732.22322,170339959309.44986,134946060552262.6,2102.886548478298,0.5,0.0,67.00019036559604,0.4682853261436845,0.03171467385631551,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,0.0
diameter,1mm,Base,diameter | 1mm | Base,350.0,350.0,764.8148148148148,,,1.1851851851851851,synthetic_band,0.5782704267386619,9.185069498433934e-06,8.0,ok,,0.0,,,,,,,0.4811651514839591,2.7446448466856253,4.0,nonphysical_vibrational_slope,4.512775938901789e+19,0.0,2671.3941758056644,0.0,11977.5007479265,1385.9512451397852,2813.257273903198,4.483614157882265,0.1366498127057839,12.02775515862281,4.0,ok,4.818953305302873e+19,110.0,58446512548.69021,162466910403.826,134872618698232.05,2304.8449926863445,0.5,0.0,67.00019036559604,0.4403713647260101,0.05962863527398994,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,7.02e-07
diameter,1mm,Middle,diameter | 1mm | Middle,350.0,350.0,675.9259259259259,,,0.931216931216931,synthetic_band,0.7848332363980235,2.636136551337385e-05,8.0,ok,,0.0,,,,,,,,,3.0,insufficient_vibrational_bands,,0.0,,,,,,,,,2.0,insufficient_atomic_lines,,0.0,58446512548.69021,162466910403.826,134872618698232.05,2304.8449926863445,0.5,0.0,67.00019036559604,0.4403713647260101,0.05962863527398994,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,0.0
diameter,1mm,Tip,diameter | 1mm | Tip,350.0,350.0,631.4814814814815,,,0.8042328042328043,synthetic_band,0.7333993682466952,4.828323687567548e-06,8.0,ok,,0.0,,5661.1154751964705,34381.73155082356,5661.1154751964705,34381.73155082356,,0.20624678590554135,2.7213300680624655,4.0,nonphysical_vibrational_slope,8.508571713753694e+19,30.0,2671.3941758056644,0.0,11977.5007479265,1385.9512451397852,2813.257273903198,4.483614157882265,0.1366498127057839,12.02775515862281,4.0,ok,4.818953305302873e+19,110.0,58446512548.69021,162466910403.826,134872618698232.05,2304.8449926863445,0.5,0.0,67.00019036559604,0.4403713647260101,0.05962863527398994,-1.1323138784405327,ok,,,,,,,1.0,1.0,,,,6.499999999999959e-09
